WS_ID,Name,Primary_Universe_Index,Primary_MIC,Source_Primary_Ticker,Yahoo_Symbol_Before,Yahoo_Status_Before,Curated_Candidate,Yahoo_Symbol_After,Yahoo_Status_After,Provider_Listing_Type,Changed,Validation_Reason,Yahoo_Result_Name,Yahoo_Result_Exchange,Name_Score,Errors,Active_After
WS:XETR:AG1G.DE,AUTO1 GROUP,EU_STOXX600,XETR,AG1G.DE,,SEARCH_AMBIGUOUS,AG1.DE,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XMAD:AMA.MC,AMADEUS IT GROUP,EU_STOXX600,XMAD,AMA.MC,,SEARCH_AMBIGUOUS,AMS.MC,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSTO:EPIRA.ST,EPIROC A,EU_STOXX600,XSTO,EPIRa.ST,,SEARCH_AMBIGUOUS,EPIR-A.ST,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSTO:ERICB.ST,ERICSSON LM B,EU_STOXX600,XSTO,ERICb.ST,,SEARCH_NO_QUOTES,ERIC-B.ST,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSTO:HEXAB.ST,HEXAGON B,EU_STOXX600,XSTO,HEXAb.ST,,SEARCH_AMBIGUOUS,HEXA-B.ST,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSWX:ROPC.S,ROCHE PS,EU_STOXX600,XSWX,ROPC.S,,SEARCH_AMBIGUOUS,ROG.SW,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XSWX:SRENH.S,SWISS REINSURANCE COMPANY,EU_STOXX600,XSWX,SRENH.S,,SEARCH_NO_QUOTES,SREN.SW,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XMEX:ALFAA,ALFA,MX_IPC,XMEX,ALFA A,,SEARCH_AMBIGUOUS,ALFAA.MX,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
