status,reason_code,Requalification_Action_v0_27,Rows
QUARANTINE,INVALID_OHLC_OR_VOLUME,PERSISTENT_DATA_QUALITY_EXCLUSION,23
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,26
WARMUP,INSUFFICIENT_HISTORY,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,6
