ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error,Requalification_Action_v0_27,Shadow_Data_Qualification_v0_27,Further_Blind_Redownload_v0_27
WS:US:EFOR,EFOR,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:FDXF,FDXF,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,66,65,0,0,0.0,2026-05-27,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:HONA,HONA,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,53,52,0,0,0.0,2026-06-15,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:IESC,IESC,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,499,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:KD,KD,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:LRN,LRN,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:MBGL,MBGL,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,45,44,0,0,0.0,2026-06-26,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:MEDP,MEDP,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:MFP,MFP,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,45,44,0,1,0.022727272727272728,2026-06-26,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:MNST,MNST,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,499,0,5,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:57+00:00,YF-20260829T055656174117-396a09b6-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
