WS_ID,Yahoo_Symbol,Name,Primary_MIC,Mapping_Status,Instrument_Type,Share_Class,History_State,History_Source,Unique_Bars,Valid_Bars,Liquidity_Class,Liquidity_Source,Usable20,MedianTurnover20_EUR,Quote_Scale,Eligibility_DryRun,In_v0_50_147,Universe_Write,Scalable_Universe_Raw,Scalable_QA,Scalable_Live_Check,Bar_Unique,Bar_Valid,Bar_First,Bar_Last,Bar_Future,Bar_Dups,Bar_Dup_Source,Bar_QA_Status,Eligibility_DryRun_Unchanged
WS:ISIN:INE066A01021,EICHERMOT.NS,Eicher Motors Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,24588811.15,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE075A01022,WIPRO.NS,Wipro Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,LOW_EXCEPTION,v0.38,20,12835318.76,1.0,LOW_LIQUIDITY_EXCEPTION,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION
WS:ISIN:INE081A01020,TATASTEEL.NS,Tata Steel Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,39245459.39,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE089A01031,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,19224582.63,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE090A01021,ICICIBANK.NS,ICICI Bank Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,120248056.02,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE101A01026,M&M.NS,Mahindra & Mahindra Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,52618841.47,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE123W01016,SBILIFE.NS,SBI Life Insurance Company Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,LOW_EXCEPTION,v0.38,20,13119266.4,1.0,LOW_LIQUIDITY_EXCEPTION,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION
WS:ISIN:INE154A01025,ITC.NS,ITC Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,30736925.01,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE155A01022,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,23400616.76,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE192A01025,TATACONSUM.NS,Tata Consumer Products Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,LOW_EXCEPTION,v0.38,20,11258281.76,1.0,LOW_LIQUIDITY_EXCEPTION,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION
WS:ISIN:INE213A01029,ONGC.NS,Oil & Natural Gas Corporation Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,24364161.28,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE237A01036,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,36825738.62,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE238A01034,AXISBANK.NS,Axis Bank Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,52131297.45,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE239A01024,NESTLEIND.NS,Nestle India Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,23604676.7,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE263A01024,BEL.NS,Bharat Electronics Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,34717614.72,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE280A01028,TITAN.NS,Titan Company Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,26196461.45,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
