WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:ISIN:INE089A01031,Dr. Reddy's Laboratories Ltd.,INE089A01031,COMMON_STOCK,India,DRREDDY,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE090A01021,ICICI Bank Ltd.,INE090A01021,COMMON_STOCK,India,ICICIBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE101A01026,Mahindra & Mahindra Ltd.,INE101A01026,COMMON_STOCK,India,M&M,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE123W01016,SBI Life Insurance Company Ltd.,INE123W01016,COMMON_STOCK,India,SBILIFE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE154A01025,ITC Ltd.,INE154A01025,COMMON_STOCK,India,ITC,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE155A01022,Tata Motors Passenger Vehicles Ltd.,INE155A01022,COMMON_STOCK,India,TMPV,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE192A01025,Tata Consumer Products Ltd.,INE192A01025,COMMON_STOCK,India,TATACONSUM,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE213A01029,Oil & Natural Gas Corporation Ltd.,INE213A01029,COMMON_STOCK,India,ONGC,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE237A01036,Kotak Mahindra Bank Ltd.,INE237A01036,COMMON_STOCK,India,KOTAKBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE238A01034,Axis Bank Ltd.,INE238A01034,COMMON_STOCK,India,AXISBANK,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE239A01024,Nestle India Ltd.,INE239A01024,COMMON_STOCK,India,NESTLEIND,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE263A01024,Bharat Electronics Ltd.,INE263A01024,COMMON_STOCK,India,BEL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE280A01028,Titan Company Ltd.,INE280A01028,COMMON_STOCK,India,TITAN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE296A01032,Bajaj Finance Ltd.,INE296A01032,COMMON_STOCK,India,BAJFINANCE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE397D01024,Bharti Airtel Ltd.,INE397D01024,COMMON_STOCK,India,BHARTIARTL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE423A01024,Adani Enterprises Ltd.,INE423A01024,COMMON_STOCK,India,ADANIENT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE437A01024,Apollo Hospitals Enterprise Ltd.,INE437A01024,COMMON_STOCK,India,APOLLOHOSP,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
