WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,G3_Segment
WS:XLON:LMPL.L,LONDONMETRIC PROPERTY PLC,,UNKNOWN,GB,LMPL.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSTO:WIHL.ST,WIHLBORGS FASTIGHETER,,UNKNOWN,SE,WIHL.ST,NASDAQ Stockholm,XSTO,SEK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XWAR:PZU.WA,PZU GROUP,,UNKNOWN,PL,PZU.WA,Warsaw SE,XWAR,PLN,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XAMS:AALB.AS,AALBERTS,,UNKNOWN,NL,AALB.AS,Euronext Amsterdam,XAMS,EUR,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XLON:BAES.L,BAE SYSTEMS,,UNKNOWN,GB,BAES.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XCSE:FLS.CO,FLSMIDTH & COMPANY,,UNKNOWN,DK,FLS.CO,NASDAQ Copenhagen,XCSE,DKK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSTO:EQTAB.ST,EQT,,UNKNOWN,SE,EQTAB.ST,NASDAQ Stockholm,XSTO,SEK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XLON:CTEC.L,CONVATEC PLC,,UNKNOWN,GB,CTEC.L,London SE,XLON,GBP,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSTO:AXFO.ST,AXFOOD,,UNKNOWN,SE,AXFO.ST,NASDAQ Stockholm,XSTO,SEK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XCSE:RILBA.CO,RINGKJOBING LANDBOBANK,,UNKNOWN,DK,RILBA.CO,NASDAQ Copenhagen,XCSE,DKK,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XETR:P911_P.DE,DR ING HC F PORSCHE PREF.,,UNKNOWN,DE,P911_p.DE,XETRA,XETR,EUR,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSWX:KNIN.S,KUEHNE + NAGEL,,UNKNOWN,CH,KNIN.S,Six Swiss Exchange,XSWX,CHF,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XSWX:SCHP.S,SCHINDLER P,,UNKNOWN,CH,SCHP.S,Six Swiss Exchange,XSWX,CHF,,,EU_STOXX600,EU_STOXX600,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03,2026-08-22 18:43:59.282,,,EU_STOXX600
WS:XTSE:ATRL,AtkinsRéalis Group Inc.,,UNKNOWN,Canada,ATRL,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
