WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons,Instrument_Decision_v0_6,Instrument_Type_Resolved_v0_6,Instrument_Resolution_Method_v0_6,Instrument_Resolution_Reason_v0_6,Instrument_Evidence_URL_v0_6,Instrument_Evidence_Note_v0_6,Instrument_Decision_v0_7,Instrument_Type_Resolved_v0_7,Instrument_Resolution_Method_v0_7,Instrument_Resolution_Reason_v0_7,Instrument_Evidence_URL_v0_7,Instrument_Evidence_Note_v0_7
WS:BVMF:CPLE3,CPLE3,Brazil,BR_IBRX100,BVMF,CPLE3,CPLE3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,38037014.18148271,39168938.53072673,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:CSAN3,CSAN3,Brazil,BR_IBRX100,BVMF,CSAN3,CSAN3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,17611783.413536962,17971563.990098983,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:CSMG3,CSMG3,Brazil,BR_IBRX100,BVMF,CSMG3,CSMG3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,39634378.33414884,41573344.68910955,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:CURY3,CURY3,Brazil,BR_IBRX100,BVMF,CURY3,CURY3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,18823621.208648995,18763762.85817068,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:CXSE3,CXSE3,Brazil,BR_IBRX100,BVMF,CXSE3,CXSE3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,18036410.77146758,16624323.750341645,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:CYRE3,CYRE3,Brazil,BR_IBRX100,BVMF,CYRE3,CYRE3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,23403166.57391769,23499328.10697832,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:EGIE3,EGIE3,Brazil,BR_IBRX100,BVMF,EGIE3,EGIE3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,19304416.0341968,15918158.008628989,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:EMBJ3,EMBJ3,Brazil,BR_IBRX100,BVMF,EMBJ3,EMBJ3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,89709301.41445854,63445697.63567276,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:ENEV3,ENEV3,Brazil,BR_IBRX100,BVMF,ENEV3,ENEV3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,35616612.7131033,32290912.80610678,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:ENGI11,ENGI11,Brazil,BR_IBRX100,BVMF,ENGI11,ENGI11.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,22867454.55858156,19339741.638077423,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,FAIL,B3_OTHER_ASSET_UNIT_FUND_OR_OTHER_NONORDINARY,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_11_OTHER_ASSET_11_30,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
