P0_Data_Readiness,Count
P0_DATA_READY,0
P0_DATA_COMPUTABLE_LOCAL,0
P0_DATA_STALE,622
P0_DATA_MAPPING_BLOCKED,0
P0_DATA_FEATURE_BLOCKED,0
P0_DATA_RS_BLOCKED,0
P0_DATA_NOT_VERIFIED,803
