WS_ID,Yahoo_Symbol,Primary_Ticker_Source,Primary_Ticker_Resolved_Candidate,Reason,Verified_UTC
WS:XPAR:LEGD.PA,LR.PA,LEGD.PA,LR,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:50.400462+00:00
WS:XPAR:LOIM.PA,LI.PA,LOIM.PA,LI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:50.401596+00:00
WS:XPAR:NEXS.PA,NEX.PA,NEXS.PA,NEX,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:50.827816+00:00
WS:XPAR:ORAN.PA,ORA.PA,ORAN.PA,ORA,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:50.829059+00:00
WS:XPAR:OREP.PA,OR.PA,OREP.PA,OR,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:50.830990+00:00
WS:XPAR:PERP.PA,RI.PA,PERP.PA,RI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:50.832167+00:00
WS:XPAR:PRTP.PA,KER.PA,PRTP.PA,KER,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:50.833324+00:00
WS:XPAR:RENA.PA,RNO.PA,RENA.PA,RNO,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.044606+00:00
WS:XPAR:RUBF.PA,RUI.PA,RUBF.PA,RUI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.045708+00:00
WS:XPAR:SASY.PA,SAN.PA,SASY.PA,SAN,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.049013+00:00
WS:XPAR:SCHN.PA,SU.PA,SCHN.PA,SU,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.050095+00:00
WS:XPAR:SESFD.PA,SESG.PA,SESFd.PA,SESG,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:51.262995+00:00
WS:XPAR:SGEF.PA,DG.PA,SGEF.PA,DG,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.264124+00:00
WS:XPAR:SGOB.PA,SGO.PA,SGOB.PA,SGO,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:51.265450+00:00
WS:XPAR:SOIT.PA,SOI.PA,SOIT.PA,SOI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.480848+00:00
WS:XPAR:SOPR.PA,SOP.PA,SOPR.PA,SOP,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.481947+00:00
WS:XPAR:STDM.PA,DIM.PA,STDM.PA,DIM,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.484173+00:00
WS:XPAR:TCFP.PA,HO.PA,TCFP.PA,HO,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:51.485422+00:00
WS:XPAR:TEPRF.PA,TEP.PA,TEPRF.PA,TEP,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.487542+00:00
WS:XPAR:TTEF.PA,TTE.PA,TTEF.PA,TTE,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.489435+00:00
