Group_ID,Classification,Normalized_Issuer_Name,WS_ID,Name,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,ISIN
NAME:50e99cdb7c02,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,meridian energy,WS:XASX:MEZ,Meridian Energy,AU_ASX200,XASX,MEZ,MEZ.AX,
NAME:50e99cdb7c02,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,meridian energy,WS:XNZE:MEL,Meridian Energy Limited,NZ_NZX50,XNZE,MEL,MEL.NZ,
NAME:71d7da66f751,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,newmont,WS:XASX:NEM,Newmont,AU_ASX200,XASX,NEM,NEM.AX,
NAME:71d7da66f751,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,newmont,WS:US:NEM,Newmont,US_SP1500,,NEM,NEM,
NAME:aebd0c9e79a8,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,news corp class b,WS:XASX:NWS,News Corp Class B,AU_ASX200,XASX,NWS,NWS.AX,
NAME:aebd0c9e79a8,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,news corp class b,WS:US:NWS,News Corp (Class B),US_SP1500,,NWS,NWS,
NAME:460e48e8c6fe,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,nexgen energy,WS:XASX:NXG,Nexgen Energy,AU_ASX200,XASX,NXG,NXG.AX,
NAME:460e48e8c6fe,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,nexgen energy,WS:XTSE:NXE,NexGen Energy Ltd.,CA_TSX,XTSE,NXE,NXE.TO,
NAME:088aa4c28a5a,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,rio tinto,WS:XASX:RIO,Rio Tinto,AU_ASX200,XASX,RIO,RIO.AX,
NAME:088aa4c28a5a,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,rio tinto,WS:XLON:RIO.L,RIO TINTO,EU_STOXX600,XLON,RIO.L,RIO.L,
NAME:1da1212641d4,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,resmed,WS:XASX:RMD,ResMed,AU_ASX200,XASX,RMD,RMD.AX,
NAME:1da1212641d4,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,resmed,WS:US:RMD,ResMed|,US_SP1500,,RMD,RMD,
NAME:dda55fd2042e,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,ryman healthcare,WS:XASX:RYM,Ryman Healthcare,AU_ASX200,XASX,RYM,RYM.AX,
NAME:dda55fd2042e,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,ryman healthcare,WS:XNZE:RYM,Ryman Healthcare Limited,NZ_NZX50,XNZE,RYM,RYM.NZ,
NAME:c11a8b335938,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,summerset group holdings,WS:XASX:SNZ,Summerset Group Holdings,AU_ASX200,XASX,SNZ,SNZ.AX,
NAME:c11a8b335938,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,summerset group holdings,WS:XNZE:SUM,Summerset Group Holdings Limited,NZ_NZX50,XNZE,SUM,SUM.NZ,
NAME:d50e276aaa64,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,spark new zealand,WS:XASX:SPK,Spark New Zealand,AU_ASX200,XASX,SPK,SPK.AX,
NAME:d50e276aaa64,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,spark new zealand,WS:XNZE:SPK,Spark New Zealand Limited,NZ_NZX50,XNZE,SPK,SPK.NZ,
NAME:496aca80e4d8,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,block,WS:XASX:XYX,"Block, Inc.",AU_ASX200,XASX,XYX,XYX.AX,
NAME:496aca80e4d8,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,block,WS:US:XYZ,"Block, Inc.",US_SP1500,,XYZ,XYZ,
NAME:d99448961d1f,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,rb global,WS:XTSE:RBA,RB Global Inc.,CA_TSX,XTSE,RBA,RBA.TO,
NAME:d99448961d1f,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,rb global,WS:US:RBA,RB Global,US_SP1500,,RBA,RBA,
NAME:3689afe63615,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,midea group,WS:XSHE:000333,"Midea Group CO., LTD",CN_CSI300,XSHE,000333,000333.SZ,
NAME:3689afe63615,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,midea group,WS:XHKG:300,MIDEA GROUP,HK_HSI,XHKG,300,0300.HK,
NAME:f25bbea0b95d,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,byd,WS:XSHE:002594,BYD Co Ltd,CN_CSI300,XSHE,002594,002594.SZ,
