WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XASX:BOQ,Bank of Queensland,AU_ASX200,Australia,XASX,BOQ,BOQ.AX,DERIVED_RULE,BOQ.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BPT,Beach Energy,AU_ASX200,Australia,XASX,BPT,BPT.AX,DERIVED_RULE,BPT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BRG,Breville Group,AU_ASX200,Australia,XASX,BRG,BRG.AX,DERIVED_RULE,BRG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BSL,BlueScope,AU_ASX200,Australia,XASX,BSL,BSL.AX,DERIVED_RULE,BSL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BWP,BWP Trust,AU_ASX200,Australia,XASX,BWP,BWP.AX,DERIVED_RULE,BWP.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BXB,Brambles,AU_ASX200,Australia,XASX,BXB,BXB.AX,DERIVED_RULE,BXB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CAR,CAR Group,AU_ASX200,Australia,XASX,CAR,CAR.AX,DERIVED_RULE,CAR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CBA,Commonwealth Bank,AU_ASX200,Australia,XASX,CBA,CBA.AX,DERIVED_RULE,CBA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CDA,Codan,AU_ASX200,Australia,XASX,CDA,CDA.AX,DERIVED_RULE,CDA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CEN,Contact Energy,AU_ASX200,Australia,XASX,CEN,CEN.AX,DERIVED_RULE,CEN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CGF,Challenger,AU_ASX200,Australia,XASX,CGF,CGF.AX,DERIVED_RULE,CGF.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CHC,Charter Hall,AU_ASX200,Australia,XASX,CHC,CHC.AX,DERIVED_RULE,CHC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CIA,Champion Iron,AU_ASX200,Australia,XASX,CIA,CIA.AX,DERIVED_RULE,CIA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CIP,Centuria Industrial REIT,AU_ASX200,Australia,XASX,CIP,CIP.AX,DERIVED_RULE,CIP.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
