WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XETR:FTKN.DE,FLATEXDEGIRO N,EU_STOXX600,DE,XETR,FTKn.DE,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:G1AG.DE,GEA GRP,EU_STOXX600,DE,XETR,G1AG.DE,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:HNKG_P.DE,HENKEL PREF,EU_STOXX600,DE,XETR,HNKG_p.DE,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:MUVGN.DE,MUENCHENER RUECK,EU_STOXX600,DE,XETR,MUVGn.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:PSHG_P.DE,PORSCHE AUTOMOBIL HLDG PREF,EU_STOXX600,DE,XETR,PSHG_p.DE,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:RAAG.DE,RATIONAL,EU_STOXX600,DE,XETR,RAAG.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:SATG_P.DE,SARTORIUS PREF.,EU_STOXX600,DE,XETR,SATG_p.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:SDFGN.DE,K + S,EU_STOXX600,DE,XETR,SDFGn.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:SIEGN.DE,SIEMENS,EU_STOXX600,DE,XETR,SIEGn.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:VOWG_P.DE,VOLKSWAGEN PREF,EU_STOXX600,DE,XETR,VOWG_p.DE,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
