WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_Gate_State,Identity_Gate_State,Instrument_Gate_State,Liquidity_Class,Mapping_State,History_Gate_State,History_First_Date,History_Last_Completed_Date,Unique_Daily_Bars,Valid_Completed_Bars,Scalable_Tradeability_Status,Eligibility_Plan_State,Provider,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:EMBJ3,BVMF,EMBJ3,EMBJ3.SA,EMBRAER,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:ENEV3,BVMF,ENEV3,ENEV3.SA,ENEVA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:EQTL3,BVMF,EQTL3,EQTL3.SA,EQUATORIAL,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:LREN3,BVMF,LREN3,LREN3.SA,LOJAS RENNER,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:MBRF3,BVMF,MBRF3,MBRF3.SA,MARFRIG,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:MGLU3,BVMF,MGLU3,MGLU3.SA,MAGAZ LUIZA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:MOTV3,BVMF,MOTV3,MOTV3.SA,MOTIVA SA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:MULT3,BVMF,MULT3,MULT3.SA,MULTIPLAN,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,749,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:PETR3,BVMF,PETR3,PETR3.SA,PETROBRAS,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:PRIO3,BVMF,PRIO3,PRIO3.SA,PRIO,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
