WS_ID,Primary_MIC,Primary_Ticker,Security_Name,Instrument_Type,Source_ID,Source_AsOf,Source_Superset_Member,Source_Gate_State,Identity_Gate_State,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_Plan_State,Scalable_Tradeability_Status,Planned_Master_Action,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:MGLU3,BVMF,MGLU3,MAGAZ LUIZA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:MOTV3,BVMF,MOTV3,MOTIVA SA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:MOVI3,BVMF,MOVI3,MOVIDA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:MRVE3,BVMF,MRVE3,MRV,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:MULT3,BVMF,MULT3,MULTIPLAN,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:NATU3,BVMF,NATU3,NATURA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:ORVR3,BVMF,ORVR3,ORIZON,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:PETR3,BVMF,PETR3,PETROBRAS,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:PETR4,BVMF,PETR4,PETROBRAS,PREFERRED_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:POMO4,BVMF,POMO4,MARCOPOLO,PREFERRED_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
