WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Price_AsOf,Valid_Sessions,MedianTurnover20_BRL,MedianTurnover20_EUR,EURBRL_AsOf,Liquidity_Class,Data_Quality_State,Provider,Mapping_State,Turnover_Method,Eligibility_Promotion_v0_32,Canonical_Master_Import_v0_32,Standard_Eligibility_Plan_State,Scalable_Tradeability_Status,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:GGPS3,BVMF,GGPS3,GGPS3.SA,GPS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,39482863.06,6727879.34,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:HAPV3,BVMF,HAPV3,HAPV3.SA,HAPVIDA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,62633795.48,10669722.55,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:HYPE3,BVMF,HYPE3,HYPE3.SA,HYPERA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,62397795.55,10591691.02,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:ITUB3,BVMF,ITUB3,ITUB3.SA,ITAUUNIBANCO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,68052148.78,11279442.48,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:JHSF3,BVMF,JHSF3,JHSF3.SA,JHSF PART,ORDINARY_SHARE,2026-08-31,2026-08-27,83,36017816.57,5991378.26,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:MOVI3,BVMF,MOVI3,MOVI3.SA,MOVIDA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,31148732.97,5281117.81,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:MRVE3,BVMF,MRVE3,MRVE3.SA,MRV,ORDINARY_SHARE,2026-08-31,2026-08-27,83,57659107.89,9746465.04,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:NATU3,BVMF,NATU3,NATU3.SA,NATURA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,35227231.93,5850621.54,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:ORVR3,BVMF,ORVR3,ORVR3.SA,ORIZON,ORDINARY_SHARE,2026-08-31,2026-08-27,83,42220191.39,7123200.57,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:PSSA3,BVMF,PSSA3,PSSA3.SA,PORTO SEGURO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,71346599.26,12065270.48,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:SAUD3,BVMF,SAUD3,SAUD3.SA,BRADSAUDE,ORDINARY_SHARE,2026-08-31,2026-08-27,83,54804412.28,9232631.87,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:SLCE3,BVMF,SLCE3,SLCE3.SA,SLC AGRICOLA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,32960327.46,5553289.79,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:TEND3,BVMF,TEND3,TEND3.SA,TENDA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,84020949.04,14033400.74,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:VAMO3,BVMF,VAMO3,VAMO3.SA,VAMOS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,37555369.43,6303628.93,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:VIVA3,BVMF,VIVA3,VIVA3.SA,VIVARA S.A.,ORDINARY_SHARE,2026-08-31,2026-08-27,83,59968356.3,9966697.9,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:YDUQ3,BVMF,YDUQ3,YDUQ3.SA,YDUQS PART,ORDINARY_SHARE,2026-08-31,2026-08-27,83,32940792.14,5523750.5,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
