WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Source_AsOf_Official,Liquidity_Class,Mapping_State,Scalable_Tradeability_Status,Provider,History_First_Date,History_Last_Completed_Date,Unique_Daily_Bars,Valid_Completed_Bars,Invalid_Completed_Bars,History_Gate_State,Data_Quality_Detail,Download_Error,Replacement_Ticker_Used,Current_Session_Excluded
WS:BVMF:MGLU3,BVMF,MGLU3,MGLU3.SA,MAGAZ LUIZA,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:MOTV3,BVMF,MOTV3,MOTV3.SA,MOTIVA SA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:MULT3,BVMF,MULT3,MULT3.SA,MULTIPLAN,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,749,0,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:PETR3,BVMF,PETR3,PETR3.SA,PETROBRAS,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:PRIO3,BVMF,PRIO3,PRIO3.SA,PRIO,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RADL3,BVMF,RADL3,RADL3.SA,RAIADROGASIL,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RAIL3,BVMF,RAIL3,RAIL3.SA,RUMO S.A.,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,749,0,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RDOR3,BVMF,RDOR3,RDOR3.SA,REDE D OR,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RENT3,BVMF,RENT3,RENT3.SA,LOCALIZA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:SBSP3,BVMF,SBSP3,SBSP3.SA,SABESP,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:SMFT3,BVMF,SMFT3,SMFT3.SA,SMART FIT,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:SUZB3,BVMF,SUZB3,SUZB3.SA,SUZANO S.A.,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:TIMS3,BVMF,TIMS3,TIMS3.SA,TIM,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:TOTS3,BVMF,TOTS3,TOTS3.SA,TOTVS,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:UGPA3,BVMF,UGPA3,UGPA3.SA,ULTRAPAR,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:VALE3,BVMF,VALE3,VALE3.SA,VALE,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:VBBR3,BVMF,VBBR3,VBBR3.SA,VIBRA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:VIVT3,BVMF,VIVT3,VIVT3.SA,TELEF BRASIL,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:WEGE3,BVMF,WEGE3,WEGE3.SA,WEG,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
