State_Family,State,Count
HISTORY_GATE,PASS_HISTORY_STANDARD_U3K,38
HISTORY_GATE,INSUFFICIENT_HISTORY_FOR_STANDARD_U3K,0
HISTORY_GATE,DATA_QUALITY_FAIL_HISTORY,0
HISTORY_GATE,DOWNLOAD_FAILED,0
STANDARD_ELIGIBILITY_PLAN,STANDARD_U3K_NOT_READY_DATA_QUALITY,38
STANDARD_ELIGIBILITY_PLAN,LOW_LIQUIDITY_EXCEPTION_POOL,28
STANDARD_ELIGIBILITY_PLAN,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,19
STANDARD_ELIGIBILITY_PLAN,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,13
SCALABLE,SCALABLE_NOT_VERIFIED,98
