WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Raw_Sessions,Valid_Sessions,Invalid_Price_Rows,Invalid_Volume_Rows,Missing_FX_Rows,Price_AsOf,EURBRL_AsOf,Mapping_State,Data_Quality_State,Data_Quality_Reason,Provider
WS:BVMF:CSAN3,BVMF,CSAN3,CSAN3.SA,COSAN,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:CSMG3,BVMF,CSMG3,CSMG3.SA,COPASA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:CSNA3,BVMF,CSNA3,CSNA3.SA,SID NACIONAL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:CURY3,BVMF,CURY3,CURY3.SA,CURY S/A,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:CVCB3,BVMF,CVCB3,CVCB3.SA,CVC BRASIL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:CXSE3,BVMF,CXSE3,CXSE3.SA,CAIXA SEGURI,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:CYRE3,BVMF,CYRE3,CYRE3.SA,CYRELA REALT,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:DIRR3,BVMF,DIRR3,DIRR3.SA,DIRECIONAL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ECOR3,BVMF,ECOR3,ECOR3.SA,ECORODOVIAS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:EGIE3,BVMF,EGIE3,EGIE3.SA,ENGIE BRASIL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
