Liquidity_Class,Count
PASS_PREFERRED,28
PASS_STANDARD,10
LOW_LIQUIDITY_EXCEPTION_POOL,28
FAIL_LIQUIDITY,13
DATA_NOT_READY_QUARANTINE,0
