Standard_Eligibility_State,Rows,Expected_Rows,State
STANDARD_ELIGIBILITY_READY,38,38,PASS
LOW_LIQUIDITY_EXCEPTION_POOL,28,28,PASS
STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,19,19,PASS
STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,13,13,PASS
