WS_ID,Before_Row_SHA256,After_Row_SHA256,Changed
WS:XTSE:MFI,1173a718b7e1be933e7a6b59ffb3cab9b5a803757cc39e229437a7103fc479a3,1173a718b7e1be933e7a6b59ffb3cab9b5a803757cc39e229437a7103fc479a3,False
WS:XTSE:MG,24bfe2a4ccfe4ef348a3d17223b9b5a8d5930c398bc69bbcfe2a0ebf46bd2157,24bfe2a4ccfe4ef348a3d17223b9b5a8d5930c398bc69bbcfe2a0ebf46bd2157,False
WS:XTSE:MRU,0ed67e5c5139b1f01c1d6b9d83769989f0c5a08f01a96eac3a4dcac1f78f2f41,0ed67e5c5139b1f01c1d6b9d83769989f0c5a08f01a96eac3a4dcac1f78f2f41,False
WS:XTSE:MTL,a235357829d4261a86428bd6dd06158c221773806b02dd013afe224661bb733c,a235357829d4261a86428bd6dd06158c221773806b02dd013afe224661bb733c,False
WS:XTSE:MX,30f5cd0243b38b4d21d6bdb23d4756e9c0b922eb70bcfeed3ce5294d09f61777,30f5cd0243b38b4d21d6bdb23d4756e9c0b922eb70bcfeed3ce5294d09f61777,False
WS:XTSE:NA,fd00131118910a0a1b6c31b69b14082ea270482bf5bfb43eef030f7ca7c1dc5f,fd00131118910a0a1b6c31b69b14082ea270482bf5bfb43eef030f7ca7c1dc5f,False
WS:XTSE:NFI,4f7bfdb87f4538485da60d5717423f1c13d0b7dfb04521001581a52eaeded425,4f7bfdb87f4538485da60d5717423f1c13d0b7dfb04521001581a52eaeded425,False
WS:XTSE:NG,85041344afcf600bd1950fde2cdd6a5262172a8302157a82631d431d7184f70b,85041344afcf600bd1950fde2cdd6a5262172a8302157a82631d431d7184f70b,False
WS:XTSE:NGEX,9720220a4e6d424125de6bbfe8c282cefa9e217226dc7adacbc4eb459fc91d5a,9720220a4e6d424125de6bbfe8c282cefa9e217226dc7adacbc4eb459fc91d5a,False
WS:XTSE:NPI,5eeddaa45ffc8c9dd1d2ce00346ddad11f60a61cee4d2141a3ab6f2306bb022e,5eeddaa45ffc8c9dd1d2ce00346ddad11f60a61cee4d2141a3ab6f2306bb022e,False
WS:XTSE:NTR,ce6f60d6278bc4de3d28925967c5eb92da3b466253954adabdfdd9cf74c6a01d,ce6f60d6278bc4de3d28925967c5eb92da3b466253954adabdfdd9cf74c6a01d,False
WS:XTSE:NWC,1db0ecfdc55c29c21b5f2d4818b97459777155010cfb0b51be28b26fa383933e,1db0ecfdc55c29c21b5f2d4818b97459777155010cfb0b51be28b26fa383933e,False
WS:XTSE:NXE,a5975beb40754602f131aa2e97541db7db7b0703a01b8ff84436a1beec6379b7,a5975beb40754602f131aa2e97541db7db7b0703a01b8ff84436a1beec6379b7,False
WS:XTSE:OGC,6b73370ae1887c933d57545c7d741ce94b54309b898832558849521d0900aff2,6b73370ae1887c933d57545c7d741ce94b54309b898832558849521d0900aff2,False
WS:XTSE:ONEX,338d60cb611a7a4b3c4341df036137a8981f2b6cf8ed30ede922047c51bb4aa4,338d60cb611a7a4b3c4341df036137a8981f2b6cf8ed30ede922047c51bb4aa4,False
WS:XTSE:OR,897e1055ecd470a0dd16369a3d103657d25cf5ef66e5fa796cf77e9474ee978e,897e1055ecd470a0dd16369a3d103657d25cf5ef66e5fa796cf77e9474ee978e,False
WS:XTSE:OTEX,3999f221dbc18760a6cf8bed29a90322eb15ba2b55c6d93929cb08581cac6c5f,3999f221dbc18760a6cf8bed29a90322eb15ba2b55c6d93929cb08581cac6c5f,False
WS:XTSE:PAAS,473a6e1b7d918c0be1d14ae3af8d9222b31d192c5d6e244c53a531d7c99c4419,473a6e1b7d918c0be1d14ae3af8d9222b31d192c5d6e244c53a531d7c99c4419,False
WS:XTSE:PBH,7e9c6a4ba77cd44dc5a9c7326a6a5bb088f519bb7eea668398981e6874077451,7e9c6a4ba77cd44dc5a9c7326a6a5bb088f519bb7eea668398981e6874077451,False
WS:XTSE:PEY,17df22e811b638d18ed894584e844c0decf65a44ad247360b749840873aab60d,17df22e811b638d18ed894584e844c0decf65a44ad247360b749840873aab60d,False
WS:XTSE:PMZ.UN,69690c3f7bb5e60a99372915b6745f143b31b544c891ec64013c0924b99747d3,69690c3f7bb5e60a99372915b6745f143b31b544c891ec64013c0924b99747d3,False
WS:XTSE:POU,123eede4c7180b47e57c57b99d3301973845e3adf29a885f5c3fc2c10204249e,123eede4c7180b47e57c57b99d3301973845e3adf29a885f5c3fc2c10204249e,False
WS:XTSE:POW,caf521dc126170a486fce9563ee1d917d9fc90a732c4290fe44e1832033edf96,caf521dc126170a486fce9563ee1d917d9fc90a732c4290fe44e1832033edf96,False
WS:XTSE:PPL,1ae2aae42da8452cbb352824877705ae95843a8126d831ff57a072155c10b3c7,1ae2aae42da8452cbb352824877705ae95843a8126d831ff57a072155c10b3c7,False
WS:XTSE:PPTA,2e42de70768d6c4963e7eb4e8783ab8f06575bbcfafe6f30433f0532dc674ed6,2e42de70768d6c4963e7eb4e8783ab8f06575bbcfafe6f30433f0532dc674ed6,False
WS:XTSE:PSK,7da6fdaf33be56443b4927221b558d437acd49427e28cbccb63766622e0fbf40,7da6fdaf33be56443b4927221b558d437acd49427e28cbccb63766622e0fbf40,False
WS:XTSE:PXT,90212a594a283dbf293ea7194c850d62bab50e63a97a34c145ff409b894823e6,90212a594a283dbf293ea7194c850d62bab50e63a97a34c145ff409b894823e6,False
WS:XTSE:QBR.B,0da4f43e093da6b19723e4f06b7ba316222417107e251b6082e20e97f9794f68,0da4f43e093da6b19723e4f06b7ba316222417107e251b6082e20e97f9794f68,False
WS:XTSE:QSR,cfafd6d3cd4a8d477e1fdf556cf9d9b7545e4917bfa5072191564c38a9f3bcf6,cfafd6d3cd4a8d477e1fdf556cf9d9b7545e4917bfa5072191564c38a9f3bcf6,False
WS:XTSE:RBA,02dea0ae2bb421fc781dd5f5d3389d86f002d1b60a1e01d67d0fee31b1f6d1a3,02dea0ae2bb421fc781dd5f5d3389d86f002d1b60a1e01d67d0fee31b1f6d1a3,False
WS:XTSE:RCH,9c0ba65e0c5e80c39050c54d2eb3bde62e9e8e945ad2f54413782551cb264346,9c0ba65e0c5e80c39050c54d2eb3bde62e9e8e945ad2f54413782551cb264346,False
WS:XTSE:RCI.B,b4cbbde3ae7e64768ef9f38d438674f9b77ff5e5bc378d8e84d27611c7a58b66,b4cbbde3ae7e64768ef9f38d438674f9b77ff5e5bc378d8e84d27611c7a58b66,False
WS:XTSE:REI.UN,dc668846bc61f04e1a7457e9a6dfe968abfa3ba62703cc990352807ff9183f6e,dc668846bc61f04e1a7457e9a6dfe968abfa3ba62703cc990352807ff9183f6e,False
WS:XTSE:RUS,8f02886f881ec1fcd7631af641f330d06ace647dea3f97c3a89bc053a3402ff7,8f02886f881ec1fcd7631af641f330d06ace647dea3f97c3a89bc053a3402ff7,False
WS:XTSE:RY,fc5ff682ff74f83ab1bbba27523d1dd20564eb2d76f14a55def51957bfa44263,fc5ff682ff74f83ab1bbba27523d1dd20564eb2d76f14a55def51957bfa44263,False
WS:XTSE:SAP,a4d50e4559b7786f7d34a4bc0c09574018abae1e0f3aae0d27a74adfb1d4823f,a4d50e4559b7786f7d34a4bc0c09574018abae1e0f3aae0d27a74adfb1d4823f,False
WS:XTSE:SCR,2daa609926e6d6e55272c9b73281a36cc656c64ab7903fc1535f2250d773977b,2daa609926e6d6e55272c9b73281a36cc656c64ab7903fc1535f2250d773977b,False
WS:XTSE:SDE,9b5caac7cec5595f861834745dbc0e23f3f30289a7a16b1ec4f026ec7ae6f225,9b5caac7cec5595f861834745dbc0e23f3f30289a7a16b1ec4f026ec7ae6f225,False
WS:XTSE:SEA,c47136231ac213913e7167b2392e42d20d70759993d4000f5b048e81f13382ee,c47136231ac213913e7167b2392e42d20d70759993d4000f5b048e81f13382ee,False
