WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:BEEF3,MINERVA,,ORDINARY_SHARE,Brazil,BEEF3,B3,BVMF,BRL,BEEF3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON ATZ NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BPAC11,BTGP BANCO,,UNIT,Brazil,BPAC11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,UNT N2,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BRAP4,BRADESPAR,,PREFERRED_SHARE,Brazil,BRAP4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BRAV3,BRAVA,,ORDINARY_SHARE,Brazil,BRAV3,B3,BVMF,BRL,BRAV3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:CBAV3,CBA,,ORDINARY_SHARE,Brazil,CBAV3,B3,BVMF,BRL,CBAV3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:CEAB3,CEA MODAS,,ORDINARY_SHARE,Brazil,CEAB3,B3,BVMF,BRL,CEAB3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:CMIG4,CEMIG,,PREFERRED_SHARE,Brazil,CMIG4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:CMIN3,CSNMINERACAO,,ORDINARY_SHARE,Brazil,CMIN3,B3,BVMF,BRL,CMIN3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON N2,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:COGN3,COGNA ON,,ORDINARY_SHARE,Brazil,COGN3,B3,BVMF,BRL,COGN3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:CPFE3,CPFL ENERGIA,,ORDINARY_SHARE,Brazil,CPFE3,B3,BVMF,BRL,CPFE3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
