Check,Expected,Actual,State
Rows,1633,1633,PASS
Columns,22,22,PASS
Unique_WS_ID,1633,1633,PASS
Brazil_Rows,98,98,PASS
Selection,ALL_CURRENT_MASTER_ROWS,ALL_CURRENT_MASTER_ROWS,PASS
