Segment_ID,Rows,Imported
BR_IBRX100,98,True
CA_TSX,217,True
CN_CSI300,300,True
EU_STOXX600,600,True
HK_HSI,93,True
IN_NIFTY50,50,True
JP_N225,225,True
TW_TW50,50,True
