WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XPAR:VLLP.PA,VALLOUREC,VLLP.PA,,VK.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:VLOF.PA,VALEO,VLOF.PA,,FR.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:ADDTB.ST,ADDTECH B,ADDTb.ST,,ADDT-B.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:ASSAB.ST,ASSA ABLOY,ASSAb.ST,,ASSA-B.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:ATCOA.ST,ATLAS COPCO A,ATCOa.ST,,ATCO-A.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:AVANZ.ST,AVANZA BANK HLDG,AVANZ.ST,,AZA.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:BALDB.ST,FASTIGHETS BALDER B,BALDb.ST,,BALD-B.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:BEIJB.ST,BEIJER REF AB,BEIJb.ST,,BEIJ-B.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:EPIRA.ST,EPIROC A,EPIRa.ST,,EPI-A.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XSTO:ERICB.ST,ERICSSON LM B,ERICb.ST,,ERIC-B.ST,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
