WS_ID,Gap_Family,Source_State,Source_Reason,Yahoo_Symbol,Cache_Status,Unique_Daily_Bars,Valid_Completed_Bars,First_Valid_Bar,Last_Completed_Bar,Bars_To_260,Bars_To_252_Valid,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Terminal_Blocked,Network_Required_For_Next_Step
WS:XSHE:001280,HISTORY,INSUFFICIENT_HISTORY_FOR_STANDARD_U3K,INSUFFICIENT_HISTORY,001280.SZ,WARMUP,181,181,2025-12-03,2026-08-31,79,71,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,DEFER_TEMPORAL,KEEP_WARMUP_NO_REPAIR,False,False,False
WS:XSTO:VSURE.ST,HISTORY,INSUFFICIENT_HISTORY_FOR_STANDARD_U3K,INSUFFICIENT_HISTORY,VSURE.ST,WARMUP,1,1,2026-08-31,2026-08-31,259,251,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,DEFER_TEMPORAL,KEEP_WARMUP_NO_REPAIR,False,False,False
WS:BVMF:AUAU3,HISTORY,INSUFFICIENT_HISTORY_FOR_STANDARD_U3K,INSUFFICIENT_HISTORY,AUAU3.SA,WARMUP,165,165,2026-01-05,2026-08-31,95,87,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,DEFER_TEMPORAL,KEEP_WARMUP_NO_REPAIR,False,False,False
