WS_ID,Gap_Family,Source_State,Source_Reason,Yahoo_Symbol,Cache_Status,Cache_Reason,Unique_Daily_Bars,Valid_Completed_Bars,Repaired_Rows,Cached_Price_Rows,Invalid_Cached_Bars,Invalid_Cached_Bar_Share,Suspicious_Return_Events_Recomputed,All_Suspicious_Events_Have_Split_Nearby,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Terminal_Blocked,Network_Required_For_Next_Step
WS:XAMS:CSG.AS,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,INVALID_OHLC_OR_VOLUME,CSG.AS,QUARANTINE,INVALID_OHLC_OR_VOLUME,154,153,0,154,1,0.006493506493506494,0,False,INVALID_BAR_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REDOWNLOAD_REPAIR_AND_QA_RECHECK,False,False,True
WS:XLON:ROR.L,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,SUSPICIOUS_RETURN_NEEDS_REPAIR,ROR.L,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,508,0,0.0,1,False,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REPAIR_THEN_EVENT_QA_RECHECK,False,False,True
WS:XOSL:KMAR.OL,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,INVALID_OHLC_OR_VOLUME,KMAR.OL,QUARANTINE,INVALID_OHLC_OR_VOLUME,90,89,0,90,1,0.011111111111111112,0,False,INVALID_BAR_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REDOWNLOAD_REPAIR_AND_QA_RECHECK,False,False,True
WS:XPAR:ABVX.PA,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,SUSPICIOUS_RETURN_NEEDS_REPAIR,ABVX.PA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,509,508,0,509,1,0.0019646365422396855,1,False,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REPAIR_THEN_EVENT_QA_RECHECK,False,False,True
WS:XTSE:IAU,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,SUSPICIOUS_RETURN_NEEDS_REPAIR,IAU.TO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,500,0,500,0,0.0,1,False,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REPAIR_THEN_EVENT_QA_RECHECK,False,False,True
WS:XTSE:LAC,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,SUSPICIOUS_RETURN_NEEDS_REPAIR,LAC.TO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,500,0,500,0,0.0,1,False,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REPAIR_THEN_EVENT_QA_RECHECK,False,False,True
WS:BVMF:NATU3,DATA_QUALITY,HISTORY_DATA_QUALITY_FAIL,SUSPICIOUS_RETURN_NEEDS_REPAIR,NATU3.SA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,296,296,0,296,0,0.0,1,False,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,RETRY_DATA,TARGETED_SINGLE_SYMBOL_REPAIR_THEN_EVENT_QA_RECHECK,False,False,True
