WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Cache_Status,Cache_Reason,Liquidity_Data_Status,Liquidity_Gate,Liquidity_Bucket,MedianTurnover20_EUR,MedianTurnover60_EUR,Scalable_Tradeability_Status,Scalable_Gate,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Strict_Eligibility_v0_14,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,All_Blockers_v0_23
WS:XASX:NEM,Newmont,Australia,AU_ASX200,XASX,NEM,NEM.AX,READY,,OK,PASS,PREFERRED_GE_20M,32616794.296048217,29195769.794152685,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,DEPOSITARY_INTEREST,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:RMD,ResMed,Australia,AU_ASX200,XASX,RMD,RMD.AX,READY,,OK,PASS,PREFERRED_GE_20M,33098812.18109408,34986903.03159523,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,DEPOSITARY_INTEREST,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:SCG,Scentre Group,Australia,AU_ASX200,XASX,SCG,SCG.AX,READY,,OK,PASS,PREFERRED_GE_20M,22234664.16545918,24196120.332431927,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,STAPLED_ORDINARY_AND_UNIT_SECURITY,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:SGP,Stockland,Australia,AU_ASX200,XASX,SGP,SGP.AX,READY,,OK,PASS,PREFERRED_GE_20M,23574080.789719194,26147179.298335575,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,STAPLED_ORDINARY_AND_UNIT_SECURITY,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:TCL,Transurban,Australia,AU_ASX200,XASX,TCL,TCL.AX,READY,,OK,PASS,PREFERRED_GE_20M,36872103.57089601,41686856.99135031,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,STAPLED_ORDINARY_AND_UNIT_SECURITY,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,FAIL,INSTRUMENT_FAIL,ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE,VALID_INSTRUMENT_GATE_EXCLUSION,INSTRUMENT:FAIL:ASX_SECURITY_TYPE_OUTSIDE_STRICT_COMMON_ORDINARY_GATE
WS:XASX:AFI,Australian Foundation Investment Company,Australia,AU_ASX200,XASX,AFI,AFI.AX,READY,,OK,FAIL,FAIL_LT_5M,2982084.9612012003,3249050.764547092,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:AIA,Auckland International Airport Limited,Australia,AU_ASX200,XASX,AIA,AIA.AX,READY,,OK,FAIL,FAIL_LT_5M,2021798.6627376187,2096806.5868707746,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:ALK,Alkane Resources,Australia,AU_ASX200,XASX,ALK,ALK.AX,READY,,OK,FAIL,FAIL_LT_5M,4078008.11669209,3867554.6563115064,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:ALX,Atlas Arteria,Australia,AU_ASX200,XASX,ALX,ALX.AX,READY,,OK,FAIL,FAIL_LT_5M,4506979.020524761,9212669.336104892,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:APE,Eagers Automotive,Australia,AU_ASX200,XASX,APE,APE.AX,READY,,OK,FAIL,FAIL_LT_5M,4236992.720171698,4658020.472703047,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
