Primary_Universe_Index,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Remediation_Class_v0_23,Rows
EU_STOXX600,,,INSTRUMENT_BULK_EVIDENCE_REQUIRED,365
CA_TSX,OFFICIAL_REFERENCE_VALIDATION_FAILED,OFFICIAL_SEMANTICS_REFERENCE_NOT_VALIDATED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,105
KR_KOSPI200,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,INSTRUMENT_BULK_EVIDENCE_REQUIRED,92
HK_HSI,,,INSTRUMENT_BULK_EVIDENCE_REQUIRED,82
MX_IPC,,,INSTRUMENT_BULK_EVIDENCE_REQUIRED,6
