WS_ID,Ticker,ISIN,MIC,Instrument,Membership,IVV_ISIN,Identity,History,Liquidity,Eligibility,Canonical,Integration_Class,HONA
US1:US03990B1017:XNYS,ARES,US03990B1017,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US03990B1017,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0404131064:XNYS,ANET,US0404131064,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US0404132054,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US3635761097:XNYS,AJG,US3635761097,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US3635761097,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US04621X1081:XNYS,AIZ,US04621X1081,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US04621X1081,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US00206R1023:XNYS,T,US00206R1023,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US00206R1023,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0495601058:XNYS,ATO,US0495601058,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0495601058,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0527691069:XNAS,ADSK,US0527691069,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0527691069,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0530151036:XNAS,ADP,US0530151036,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0530151036,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0533321024:XNYS,AZO,US0533321024,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0533321024,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0536111091:XNYS,AVY,US0536111091,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0536111091,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US87651B1044:XNAS,AXON,US87651B1044,XNAS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US05464C1018,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US05722G1004:XNYS,BKR,US05722G1004,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US05722G1004,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0584981064:XNYS,BALL,US0584981064,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0584981064,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
