ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XASX:IFL,IFL.AX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XASX:NSR,NSR.AX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XMEX:ELEKTRA,ELEKTRA.MX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XNZE:ARV,ARV.NZ,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XNZE:MNW,MNW.NZ,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:US:CWEN.A,CWEN-A,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
