WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:ISIN:TW0002357001,2357.TW,DERIVED_RULE,2357,XTAI,TWD
WS:ISIN:TW0002360005,2360.TW,DERIVED_RULE,2360,XTAI,TWD
WS:ISIN:TW0002368008,2368.TW,DERIVED_RULE,2368,XTAI,TWD
WS:ISIN:TW0002382009,2382.TW,DERIVED_RULE,2382,XTAI,TWD
WS:ISIN:TW0002383007,2383.TW,DERIVED_RULE,2383,XTAI,TWD
WS:ISIN:TW0002395001,2395.TW,DERIVED_RULE,2395,XTAI,TWD
WS:ISIN:TW0002408002,2408.TW,DERIVED_RULE,2408,XTAI,TWD
WS:ISIN:TW0002412004,2412.TW,DERIVED_RULE,2412,XTAI,TWD
WS:ISIN:TW0002449006,2449.TW,DERIVED_RULE,2449,XTAI,TWD
WS:ISIN:TW0002454006,2454.TW,DERIVED_RULE,2454,XTAI,TWD
WS:ISIN:TW0002603008,2603.TW,DERIVED_RULE,2603,XTAI,TWD
WS:ISIN:TW0002880002,2880.TW,DERIVED_RULE,2880,XTAI,TWD
WS:ISIN:TW0002881000,2881.TW,DERIVED_RULE,2881,XTAI,TWD
WS:ISIN:TW0002882008,2882.TW,DERIVED_RULE,2882,XTAI,TWD
WS:ISIN:TW0002883006,2883.TW,DERIVED_RULE,2883,XTAI,TWD
WS:ISIN:TW0002884004,2884.TW,DERIVED_RULE,2884,XTAI,TWD
WS:ISIN:TW0002885001,2885.TW,DERIVED_RULE,2885,XTAI,TWD
WS:ISIN:TW0002886009,2886.TW,DERIVED_RULE,2886,XTAI,TWD
WS:ISIN:TW0002887007,2887.TW,DERIVED_RULE,2887,XTAI,TWD
WS:ISIN:TW0002890001,2890.TW,DERIVED_RULE,2890,XTAI,TWD
WS:ISIN:TW0002891009,2891.TW,DERIVED_RULE,2891,XTAI,TWD
WS:ISIN:TW0002892007,2892.TW,DERIVED_RULE,2892,XTAI,TWD
WS:ISIN:TW0003008009,3008.TW,DERIVED_RULE,3008,XTAI,TWD
WS:ISIN:TW0003017000,3017.TW,DERIVED_RULE,3017,XTAI,TWD
WS:ISIN:TW0003037008,3037.TW,DERIVED_RULE,3037,XTAI,TWD
WS:ISIN:TW0003045001,3045.TW,DERIVED_RULE,3045,XTAI,TWD
WS:ISIN:TW0003231007,3231.TW,DERIVED_RULE,3231,XTAI,TWD
WS:ISIN:TW0003443008,3443.TW,DERIVED_RULE,3443,XTAI,TWD
WS:ISIN:TW0003653002,3653.TW,DERIVED_RULE,3653,XTAI,TWD
WS:ISIN:TW0004904008,4904.TW,DERIVED_RULE,4904,XTAI,TWD
WS:ISIN:TW0005880009,5880.TW,DERIVED_RULE,5880,XTAI,TWD
WS:ISIN:TW0006505001,6505.TW,DERIVED_RULE,6505,XTAI,TWD
WS:ISIN:TW0008046004,8046.TW,DERIVED_RULE,8046,XTAI,TWD
WS:XAMS:AALB.AS,AALB.AS,DERIVED_RULE_NORMALIZED,AALB.AS,XAMS,EUR
WS:XAMS:ABND.AS,ABND.AS,DERIVED_RULE_NORMALIZED,ABNd.AS,XAMS,EUR
WS:XAMS:AD.AS,AD.AS,DERIVED_RULE_NORMALIZED,AD.AS,XAMS,EUR
WS:XAMS:ADYEN.AS,ADYEN.AS,DERIVED_RULE_NORMALIZED,ADYEN.AS,XAMS,EUR
WS:XAMS:AEGN.AS,AEGN.AS,DERIVED_RULE_NORMALIZED,AEGN.AS,XAMS,EUR
WS:XAMS:AKZO.AS,AKZO.AS,DERIVED_RULE_NORMALIZED,AKZO.AS,XAMS,EUR
WS:XAMS:ALLFG.AS,ALLFG.AS,DERIVED_RULE_NORMALIZED,ALLFG.AS,XAMS,EUR
WS:XAMS:ARDS.AS,ARDS.AS,DERIVED_RULE_NORMALIZED,ARDS.AS,XAMS,EUR
WS:XAMS:ASMI.AS,ASMI.AS,DERIVED_RULE_NORMALIZED,ASMI.AS,XAMS,EUR
WS:XAMS:ASML.AS,ASML.AS,DERIVED_RULE_NORMALIZED,ASML.AS,XAMS,EUR
WS:XAMS:ASRNL.AS,ASRNL.AS,DERIVED_RULE_NORMALIZED,ASRNL.AS,XAMS,EUR
WS:XAMS:BAMN.AS,BAMN.AS,DERIVED_RULE_NORMALIZED,BAMN.AS,XAMS,EUR
WS:XAMS:BESI.AS,BESI.AS,DERIVED_RULE_NORMALIZED,BESI.AS,XAMS,EUR
WS:XAMS:CSG.AS,CSG.AS,DERIVED_RULE_NORMALIZED,CSG.AS,XAMS,EUR
WS:XAMS:CVC.AS,CVC.AS,DERIVED_RULE_NORMALIZED,CVC.AS,XAMS,EUR
WS:XAMS:DSFIR.AS,DSFIR.AS,DERIVED_RULE_NORMALIZED,DSFIR.AS,XAMS,EUR
WS:XAMS:EXOR.AS,EXOR.AS,DERIVED_RULE_NORMALIZED,EXOR.AS,XAMS,EUR
WS:XAMS:HEIN.AS,HEIA.AS,PROJECT_OVERRIDE,HEIN.AS,XAMS,EUR
WS:XAMS:HEIO.AS,HEIO.AS,DERIVED_RULE_NORMALIZED,HEIO.AS,XAMS,EUR
WS:XAMS:IMCD.AS,IMCD.AS,DERIVED_RULE_NORMALIZED,IMCD.AS,XAMS,EUR
