Security_Key,Source_WS_ID,Price_Cache_Status,Reason_Code,Unique_Bars,Valid_Bars,Strict_Invalid_Bars,Suspicious_Returns,Repaired_Rows,Zero_Volume_Share,First_Bar_Date,Last_Bar_Date,Currency_Binding,Provider_Symbol,Source
WSSEC:WS:BVMF:RENT3,WS:BVMF:RENT3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,RENT3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,SBSP3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,SMFT3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,SUZB3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,TIMS3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,TOTS3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,UGPA3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,VALE3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,VBBR3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,VIVT3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,WEGE3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,RELIANCE.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,INFY.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,LT.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,JSWSTEEL.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,ASIANPAINT.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,MAXHEALTH.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,HINDUNILVR.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,HINDALCO.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,HDFCBANK.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,SUNPHARMA.NS,YFINANCE_FREE_REFRESH_V0_45
