WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XMIL:EMII.MI,BPE.MI,BPER Banca,XMIL,EUR,1.0,20,59244598.89,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:ENEI.MI,ENEL.MI,ENEL,XMIL,EUR,1.0,20,147590829.03,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:GASI.MI,G.MI,ASSICURAZIONI GENERALI,XMIL,EUR,1.0,20,73604035.45,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:HRA.MI,HER.MI,HERA,XMIL,EUR,1.0,20,16335572.99,STANDARD,OK,IDENTITY,2026-09-03
WS:XMIL:ITPG.MI,IP.MI,INTERPUMP GRP,XMIL,EUR,1.0,20,4301328.48,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XMIL:LDOF.MI,LDO.MI,LEONARDO,XMIL,EUR,1.0,20,89535058.44,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:NEXII.MI,NEXI.MI,NEXI SPA,XMIL,EUR,1.0,20,31563415.02,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:RECI.MI,REC.MI,RECORDATI,XMIL,EUR,1.0,20,10615282.36,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMIL:SPMI.MI,SPM.MI,SAIPEM,XMIL,EUR,1.0,20,71216876.42,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:TENR.MI,TEN.MI,TENARIS,XMIL,EUR,1.0,20,33758780.9,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:TLIT.MI,TIT.MI,TELECOM ITALIA,XMIL,EUR,1.0,20,49164112.87,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:UNPI.MI,UNI.MI,UNIPOL ASSICURAZIONI,XMIL,EUR,1.0,20,32801916.87,PREFERRED,OK,IDENTITY,2026-09-03
WS:XOSL:GJFG.OL,GJF.OL,GJENSIDIGE FORSIKRING,XOSL,NOK,1.0,20,4716553.27,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XPAR:ACCP.PA,AC.PA,ACCOR,XPAR,EUR,1.0,20,28865522.03,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:AIRP.PA,AI.PA,AIR LIQUIDE,XPAR,EUR,1.0,20,96532641.01,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:ALSO.PA,ALO.PA,ALSTOM,XPAR,EUR,1.0,20,14604674.46,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:AXAF.PA,CS.PA,AXA,XPAR,EUR,1.0,20,91434329.16,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:BIOX.PA,BIM.PA,BIOMERIEUX,XPAR,EUR,1.0,20,10766568.48,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:BNPP.PA,BNP.PA,BNP PARIBAS,XPAR,EUR,1.0,20,158113644.94,PREFERRED,OK,IDENTITY,2026-09-03
