WS_ID,Yahoo_Symbol,Reason
WS:XAMS:MICCT.AS,MICC.AS,FAIL_HISTORY_PARKED
WS:XETR:AMV0N.DE,AMV0.DE,FAIL_HISTORY_PARKED
WS:XSTO:OCTVSDB.ST,OCTV-SDB.ST,FAIL_HISTORY_PARKED
