Primary_Universe_Index,Rows,Sector_Metadata_Status_v0_20,Sector_RS_Status_v0_20
AU_ASX200,53,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
BR_IBRX100,38,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
CN_CSI300,295,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
IN_NIFTY50,45,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
JP_N225,207,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
TW_TW50,50,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
US_SP1500,1332,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
ZA_TOP40,17,NOT_AVAILABLE_IN_FROZEN_V0_19_INPUT,RS_NOT_VERIFIED_NO_SECTOR_METADATA
