Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Status_Before,Reason_Before,Status_After,Reason_After,State_Change_Reason,invalid_bar_count,invalid_share,affected_dates
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,ANZ.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,BSL.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,BXB.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,CBA.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,NXT.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,PME.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,QAN.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,SDF.AX,QUARANTINE,STRICT_OHLC_RELATION_FAIL,READY,ISOLATED_INVALID_BAR_EXCLUDED,CANONICAL_FILTERED_INVALID_BAR_POLICY_ALIGNMENT,1,0.0019723865877712033,2024-11-15
