WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XTKS:6113,6113.T,DERIVED_RULE,6113,XTKS,JPY
WS:XTKS:6305,6305.T,DERIVED_RULE,6305,XTKS,JPY
WS:XTKS:2503,2503.T,DERIVED_RULE,2503,XTKS,JPY
WS:XTKS:4704,4704.T,DERIVED_RULE,4704,XTKS,JPY
WS:XTKS:7186,7186.T,DERIVED_RULE,7186,XTKS,JPY
WS:XTKS:9843,9843.T,DERIVED_RULE,9843,XTKS,JPY
WS:XTKS:8795,8795.T,DERIVED_RULE,8795,XTKS,JPY
WS:XTKS:3402,3402.T,DERIVED_RULE,3402,XTKS,JPY
WS:XTKS:9147,9147.T,DERIVED_RULE,9147,XTKS,JPY
WS:XTKS:9532,9532.T,DERIVED_RULE,9532,XTKS,JPY
WS:XTKS:9983,9983.T,DERIVED_RULE,9983,XTKS,JPY
WS:XTKS:7270,7270.T,DERIVED_RULE,7270,XTKS,JPY
WS:XTKS:4902,4902.T,DERIVED_RULE,4902,XTKS,JPY
WS:XTKS:3382,3382.T,DERIVED_RULE,3382,XTKS,JPY
WS:XTKS:4151,4151.T,DERIVED_RULE,4151,XTKS,JPY
WS:XTKS:7532,7532.T,DERIVED_RULE,7532,XTKS,JPY
WS:XTKS:7912,7912.T,DERIVED_RULE,7912,XTKS,JPY
WS:XTKS:5706,5706.T,DERIVED_RULE,5706,XTKS,JPY
WS:XTKS:8253,8253.T,DERIVED_RULE,8253,XTKS,JPY
WS:XTKS:8830,8830.T,DERIVED_RULE,8830,XTKS,JPY
WS:XTKS:5803,5803.T,DERIVED_RULE,5803,XTKS,JPY
WS:XTKS:5411,5411.T,DERIVED_RULE,5411,XTKS,JPY
WS:XTKS:3861,3861.T,DERIVED_RULE,3861,XTKS,JPY
WS:XTKS:8604,8604.T,DERIVED_RULE,8604,XTKS,JPY
WS:XTKS:6501,6501.T,DERIVED_RULE,6501,XTKS,JPY
WS:XTKS:5406,5406.T,DERIVED_RULE,5406,XTKS,JPY
WS:XHKG:941,0941.HK,DERIVED_RULE,941,XHKG,HKD
WS:XHKG:1928,1928.HK,DERIVED_RULE,1928,XHKG,HKD
WS:XHKG:6160,6160.HK,DERIVED_RULE,6160,XHKG,HKD
WS:XHKG:1099,1099.HK,DERIVED_RULE,1099,XHKG,HKD
WS:XHKG:669,0669.HK,DERIVED_RULE,669,XHKG,HKD
WS:XHKG:175,0175.HK,DERIVED_RULE,175,XHKG,HKD
WS:XHKG:2020,2020.HK,DERIVED_RULE,2020,XHKG,HKD
WS:XHKG:1044,1044.HK,DERIVED_RULE,1044,XHKG,HKD
WS:XHKG:868,0868.HK,DERIVED_RULE,868,XHKG,HKD
WS:XHKG:9633,9633.HK,DERIVED_RULE,9633,XHKG,HKD
WS:XHKG:960,0960.HK,DERIVED_RULE,960,XHKG,HKD
WS:XHKG:1398,1398.HK,DERIVED_RULE,1398,XHKG,HKD
WS:XHKG:241,0241.HK,DERIVED_RULE,241,XHKG,HKD
WS:XHKG:857,0857.HK,DERIVED_RULE,857,XHKG,HKD
WS:XHKG:16,0016.HK,DERIVED_RULE,16,XHKG,HKD
WS:XHKG:700,0700.HK,DERIVED_RULE,700,XHKG,HKD
WS:XHKG:388,0388.HK,DERIVED_RULE,388,XHKG,HKD
WS:XHKG:2382,2382.HK,DERIVED_RULE,2382,XHKG,HKD
WS:XHKG:288,0288.HK,DERIVED_RULE,288,XHKG,HKD
WS:XHKG:939,0939.HK,DERIVED_RULE,939,XHKG,HKD
WS:XHKG:3968,3968.HK,DERIVED_RULE,3968,XHKG,HKD
WS:XHKG:2359,2359.HK,DERIVED_RULE,2359,XHKG,HKD
WS:XHKG:1299,1299.HK,DERIVED_RULE,1299,XHKG,HKD
WS:XHKG:285,0285.HK,DERIVED_RULE,285,XHKG,HKD
WS:XHKG:300,0300.HK,DERIVED_RULE,300,XHKG,HKD
WS:XHKG:2313,2313.HK,DERIVED_RULE,2313,XHKG,HKD
WS:XHKG:1876,1876.HK,DERIVED_RULE,1876,XHKG,HKD
WS:XHKG:322,0322.HK,DERIVED_RULE,322,XHKG,HKD
WS:XHKG:6181,6181.HK,DERIVED_RULE,6181,XHKG,HKD
WS:XHKG:27,0027.HK,DERIVED_RULE,27,XHKG,HKD
WS:XSHE:300628,300628.SZ,DERIVED_RULE,300628,XSHE,CNY
WS:XSHG:600918,600918.SS,DERIVED_RULE,600918,XSHG,CNY
WS:XSHE:000657,000657.SZ,DERIVED_RULE,000657,XSHE,CNY
WS:XSHE:300408,300408.SZ,DERIVED_RULE,300408,XSHE,CNY
WS:XSHE:002625,002625.SZ,DERIVED_RULE,002625,XSHE,CNY
WS:XSHE:300033,300033.SZ,DERIVED_RULE,300033,XSHE,CNY
WS:XSHG:600150,600150.SS,DERIVED_RULE,600150,XSHG,CNY
WS:XSHG:601211,601211.SS,DERIVED_RULE,601211,XSHG,CNY
WS:XSHE:301165,301165.SZ,DERIVED_RULE,301165,XSHE,CNY
WS:XSHG:601006,601006.SS,DERIVED_RULE,601006,XSHG,CNY
WS:XSHE:300413,300413.SZ,DERIVED_RULE,300413,XSHE,CNY
WS:XSHG:600519,600519.SS,DERIVED_RULE,600519,XSHG,CNY
WS:XSHG:601878,601878.SS,DERIVED_RULE,601878,XSHG,CNY
WS:XSHG:600460,600460.SS,DERIVED_RULE,600460,XSHG,CNY
WS:XSHE:300433,300433.SZ,DERIVED_RULE,300433,XSHE,CNY
WS:XSHG:600066,600066.SS,DERIVED_RULE,600066,XSHG,CNY
WS:XSHE:000338,000338.SZ,DERIVED_RULE,000338,XSHE,CNY
WS:XSHG:600031,600031.SS,DERIVED_RULE,600031,XSHG,CNY
WS:XSHG:600016,600016.SS,DERIVED_RULE,600016,XSHG,CNY
WS:XSHE:000157,000157.SZ,DERIVED_RULE,000157,XSHE,CNY
WS:XSHG:603259,603259.SS,DERIVED_RULE,603259,XSHG,CNY
WS:XSHG:601689,601689.SS,DERIVED_RULE,601689,XSHG,CNY
WS:XSHG:601816,601816.SS,DERIVED_RULE,601816,XSHG,CNY
WS:XSHG:600436,600436.SS,DERIVED_RULE,600436,XSHG,CNY
WS:XSHE:300750,300750.SZ,DERIVED_RULE,300750,XSHE,CNY
WS:XSHG:600115,600115.SS,DERIVED_RULE,600115,XSHG,CNY
WS:XSHE:002027,002027.SZ,DERIVED_RULE,002027,XSHE,CNY
WS:XSHG:688111,688111.SS,DERIVED_RULE,688111,XSHG,CNY
