WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Cache_Status,Cache_Reason,Liquidity_Data_Status,Liquidity_Gate,Liquidity_Bucket,MedianTurnover20_EUR,MedianTurnover60_EUR,Scalable_Tradeability_Status,Scalable_Gate,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Strict_Eligibility_v0_14,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,All_Blockers_v0_23,status,reason_code,unique_bars,valid_bars,suspicious_returns,first_bar_date,last_bar_date,Current_Evidence_State_v0_24,Recommended_Next_Action_v0_24,Automatic_Eligibility_Promotion_v0_24,Recheck_Mode_v0_25,Data_Gap_State_v0_25,Automatic_Eligibility_Promotion_v0_25
WS:XTSE:IAU,i-80 Gold Corp.,Canada,CA_TSX,XTSE,IAU,IAU.TO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,1,2024-08-21,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XTSE:LAC,Lithium Americas Corp.,Canada,CA_TSX,XTSE,LAC,LAC.TO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,1,2024-08-21,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XSHE:001280,"China National Uranium Co., Ltd.",China,CN_CSI300,XSHE,001280,001280.SZ,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,PASS,COMMON_STOCK,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,175,175,0,2025-12-03,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XSHE:302132,AVIC CHENGDU AIRCRAFT COMPANY LIMITED,China,CN_CSI300,XSHE,302132,302132.SZ,READY,,USABLE_SESSIONS_BELOW_18_OF_20,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,PASS,COMMON_STOCK,,,NOT_VERIFIED,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED,,,,,,,,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,False
WS:XLON:ROR.L,ROTORK,GB,EU_STOXX600,XLON,ROR.L,ROR.L,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,507,507,1,2024-08-21,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XPAR:ABVX.PA,ABIVAX,FR,EU_STOXX600,XPAR,ABVX.PA,ABVX.PA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,511,1,2024-08-21,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XAMS:CSG.AS,CSG A,NL,EU_STOXX600,XAMS,CSG.AS,CSG.AS,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,148,148,0,2026-01-23,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XAMS:MICCT.AS,THE MAGNUM ICE CREAM COMPANY,NL,EU_STOXX600,XAMS,MICCT.AS,MICC.AS,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,179,179,0,2025-12-08,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XETR:AMV0N.DE,AUMOVIO,DE,EU_STOXX600,XETR,AMV0n.DE,AMV0.DE,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,234,234,0,2025-09-18,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XOSL:KMAR.OL,KONGSBERG MARITIME,NO,EU_STOXX600,XOSL,KMAR.OL,KMAR.OL,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,84,84,0,2026-04-23,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
