WS_ID,Yahoo_Symbol,Eligibility_DryRun,Universe_Write
WS:XAMS:MICCT.AS,MICC.AS,PARKED_HISTORY,NO
WS:XETR:AMV0N.DE,AMV0.DE,PARKED_HISTORY,NO
WS:XSTO:OCTVSDB.ST,OCTV-SDB.ST,PARKED_HISTORY,NO
