Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Coverage_Feasibility,Earliest_Blocker,Earliest_Failed_Gate,Sector_Taxonomy_Value_Materialized,Sector_Code_Value_Materialized,Sector_Name_Value_Materialized
28,WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,BVMF,SBSP3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
29,WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,BVMF,SMFT3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
30,WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,BVMF,SUZB3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
31,WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,BVMF,TIMS3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
32,WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BVMF,TOTS3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
33,WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BVMF,UGPA3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
34,WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BVMF,VALE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
35,WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BVMF,VBBR3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
36,WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BVMF,VIVT3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
37,WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BVMF,WEGE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
38,WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,XNSE,RELIANCE,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
39,WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,XNSE,INFY,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
40,WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,XNSE,LT,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
41,WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,XNSE,JSWSTEEL,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
42,WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,XNSE,ASIANPAINT,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
43,WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,XNSE,MAXHEALTH,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
44,WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,XNSE,HINDUNILVR,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
45,WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,XNSE,HINDALCO,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
46,WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
47,WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
