Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Identity_Gate_Status,Deterministic_WS_ID_Proven,Reason
WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BVMF,TOTS3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BVMF,UGPA3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BVMF,VALE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BVMF,VBBR3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BVMF,VIVT3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BVMF,WEGE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,XNSE,RELIANCE,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,XNSE,INFY,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,XNSE,LT,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,XNSE,JSWSTEEL,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,XNSE,ASIANPAINT,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,XNSE,MAXHEALTH,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,XNSE,HINDUNILVR,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,XNSE,HINDALCO,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
