Cohort,Frozen_Rows,READY,NOT_MAPPABLE,NOT_VERIFIED,Earliest_Failed_Gate,Earliest_Blocker
AU_SP_ASX200,63,0,0,63,C,SOURCE_NATIVE_TAXONOMY_IDENTITY_NOT_VERIFIED
BR_IBRX100,37,0,0,37,B,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
CN_CSI300,294,0,0,294,B,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
IN_NIFTY50,45,0,0,45,E,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
JP_N225,197,0,0,197,D,SOURCE_NATIVE_SECTOR_CODE_NOT_AVAILABLE
TW_TW50,49,0,0,49,B,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
US_SP400,368,0,0,368,E,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
US_SP500,372,0,0,372,E,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
