Security_Key,Source_WS_ID,Canonical_Provider_Symbol_v049,EODHD_Request_Identity,EODHD_Identity_Status,Evidence
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,ANZ.AX,ANZ.AU,VERIFIED,https://eodhd.com/financial-summary/ANZ.AU
WSSEC:WS:XASX:BSL,WS:XASX:BSL,BSL.AX,BSL.AU,VERIFIED,https://eodhd.com/financial-summary/BSL.AU
WSSEC:WS:XASX:BXB,WS:XASX:BXB,BXB.AX,BXB.AU,VERIFIED,https://eodhd.com/financial-summary/BXB.AU
WSSEC:WS:XASX:CBA,WS:XASX:CBA,CBA.AX,CBA.AU,VERIFIED,https://eodhd.com/financial-summary/CBA.AU
WSSEC:WS:XASX:NXT,WS:XASX:NXT,NXT.AX,NXT.AU,VERIFIED,https://eodhd.com/financial-summary/NXT.AU
WSSEC:WS:XASX:PME,WS:XASX:PME,PME.AX,PME.AU,VERIFIED,https://eodhd.com/financial-summary/PME.AU
WSSEC:WS:XASX:QAN,WS:XASX:QAN,QAN.AX,QAN.AU,VERIFIED,https://eodhd.com/financial-summary/QAN.AU
WSSEC:WS:XASX:SDF,WS:XASX:SDF,SDF.AX,SDF.AU,VERIFIED,https://eodhd.com/financial-summary/SDF.AU
