Segment_ID,Rows,Unique_WS_ID,Duplicate_WS_ID_Rows,Strict_ISIN_MIC_Ticker_Rows,Fallback_MIC_Ticker_WSID_Rows,Incomplete_Or_Invalid_Identity_Rows,Missing_ISIN_Rows,Missing_Primary_MIC_Rows,Missing_Primary_Ticker_Rows,Source_IDs,Source_AsOf_Range,Last_Validated_Range
EU_STOXX600,600,600,0,0,600,0,600,0,0,SRC_STOXX_SXXP_SLPUBLIC,2026-08-03..2026-08-03,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
CA_TSX,217,217,0,0,217,0,217,0,0,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
JP_N225,225,225,0,0,225,0,225,0,0,SRC_NIKKEI225,2026-07-31..2026-07-31,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
HK_HSI,93,93,0,0,93,0,93,0,0,SRC_HSI,,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
CN_CSI300,300,300,0,0,300,0,300,0,0,SRC_CSI300,2026-08-21..2026-08-21,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
IN_NIFTY50,50,50,0,50,0,0,0,0,0,SRC_NIFTY50,,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
TW_TW50,50,50,0,47,3,0,3,0,0,SRC_FTSE_TW50_CW_20260630,2026-06-30..2026-06-30,2026-08-22 18:43:59.282000..2026-08-22 18:43:59.282000
