WS_ID,Primary_MIC,Primary_Ticker,Source_Superset_Member,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_State,Scalable_Tradeability_Status,MedianTurnover20_EUR,History_Unique_Daily_Bars,History_Valid_Completed_Bars,Source_AsOf,Price_AsOf,Provider,Eligibility_State_Materialized_v0_34,Productive_Eligibility,SWING_U3K_FROZEN_Member
WS:BVMF:CMIG4,BVMF,CMIG4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:CMIN3,BVMF,CMIN3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,5683914.43,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:COGN3,BVMF,COGN3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,11043459.76,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CPFE3,BVMF,CPFE3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,8913194.35,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CPLE3,BVMF,CPLE3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,37129550.32,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CSAN3,BVMF,CSAN3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,19779964.07,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CSMG3,BVMF,CSMG3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,34575749.53,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CSNA3,BVMF,CSNA3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,11872052.41,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CURY3,BVMF,CURY3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,19163160.86,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CVCB3,BVMF,CVCB3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,3470781.52,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
