ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
AU0000032914,XASX,SRG,WS:XASX:SRG,NEW
AU000000YAL0,XASX,YAL,WS:XASX:YAL,NEW
AU000000HVN7,XASX,HVN,WS:XASX:HVN,NEW
AU000000MSB8,XASX,MSB,WS:XASX:MSB,NEW
AU000000SUL0,XASX,SUL,WS:XASX:SUL,NEW
AU0000061897,XASX,PRN,WS:XASX:PRN,NEW
AU0000050130,XASX,OBM,WS:XASX:OBM,NEW
AU0000018236,XASX,NIC,WS:XASX:NIC,NEW
AU000000ALK9,XASX,ALK,WS:XASX:ALK,NEW
AU000000TAH8,XASX,TAH,WS:XASX:TAH,NEW
AU000000PPT9,XASX,PPT,WS:XASX:PPT,NEW
AU000000FLT9,XASX,FLT,WS:XASX:FLT,NEW
AU000000ORA8,XASX,ORA,WS:XASX:ORA,NEW
AU000000CYL6,XASX,CYL,WS:XASX:CYL,NEW
AU0000107484,XASX,DRR,WS:XASX:DRR,NEW
AU000000IMD5,XASX,IMD,WS:XASX:IMD,NEW
AU0000095416,XASX,4DX,WS:XASX:4DX,NEW
AU0000090128,XASX,TPG,WS:XASX:TPG,NEW
AU000000DTL4,XASX,DTL,WS:XASX:DTL,NEW
AU000000BGA8,XASX,BGA,WS:XASX:BGA,NEW
AU0000173486,XASX,MI6,WS:XASX:MI6,NEW
AU000000DYL4,XASX,DYL,WS:XASX:DYL,NEW
AU000000EOS8,XASX,EOS,WS:XASX:EOS,NEW
AU000000GNC9,XASX,GNC,WS:XASX:GNC,NEW
AU000000DRO2,XASX,DRO,WS:XASX:DRO,NEW
AU000000EVT1,XASX,EVT,WS:XASX:EVT,NEW
AU000000LOV7,XASX,LOV,WS:XASX:LOV,NEW
AU000000CIA2,XASX,CIA,WS:XASX:CIA,NEW
AU000000ARB5,XASX,ARB,WS:XASX:ARB,NEW
AU000000SLC8,XASX,SLC,WS:XASX:SLC,NEW
AU000000KCN1,XASX,KCN,WS:XASX:KCN,NEW
AU000000MFG4,XASX,MFG,WS:XASX:MFG,NEW
AU0000251498,XASX,HLI,WS:XASX:HLI,NEW
AU0000179707,XASX,DVP,WS:XASX:DVP,NEW
AU000000BPT9,XASX,BPT,WS:XASX:BPT,NEW
AU000000DMP0,XASX,DMP,WS:XASX:DMP,NEW
AU0000313769,XASX,FFM,WS:XASX:FFM,NEW
AU000000ASB3,XASX,ASB,WS:XASX:ASB,NEW
AU000000NEC4,XASX,NEC,WS:XASX:NEC,NEW
AU000000KAR6,XASX,KAR,WS:XASX:KAR,NEW
AU000000ELD6,XASX,ELD,WS:XASX:ELD,NEW
AU000000SLX4,XASX,SLX,WS:XASX:SLX,NEW
AU0000182271,XASX,JDO,WS:XASX:JDO,NEW
AU000000NCK1,XASX,NCK,WS:XASX:NCK,NEW
AU0000106643,XASX,ABB,WS:XASX:ABB,NEW
AU000000PMV2,XASX,PMV,WS:XASX:PMV,NEW
AU0000005126,XASX,GDG,WS:XASX:GDG,NEW
AU0000066086,XASX,VUL,WS:XASX:VUL,NEW
AU000000IRE2,XASX,IRE,WS:XASX:IRE,NEW
AU000000PNR8,XASX,PNR,WS:XASX:PNR,NEW
AU0000208910,XASX,IPX,WS:XASX:IPX,NEW
AU0000089724,XASX,TUA,WS:XASX:TUA,NEW
AU000000CTD3,XASX,CTD,WS:XASX:CTD,NEW
