Security type,Instrument_Decision_v0_8,Rows
CDI 10:1 FOREIGN EXEMPT NYSE,FAIL,1
CDI 1:1 FOREIGN EXEMPT NYSE,FAIL,2
CDI 3:1 FOREIGN EXEMPT XNGS,FAIL,1
CHESS DEPOSITARY INTERESTS 1:1,FAIL,1
FULLY PAID ORDINARY/UNITS STAPLED SECURITIES,FAIL,5
ORDINARY FULLY PAID,PASS,53
