Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Expected_Blocker,Expected_Anomaly_Date,Reconciliation
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,ANZ.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,BSL.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,BXB.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,CBA.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,NXT.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,PME.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,QAN.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,SDF.AX,STRICT_OHLC_RELATION_FAIL,2024-11-15,EXACT_MATCH
