Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Evidence_Cohort,Market_AsOf_Date,Last_Completed_Session,Fetch_Timestamp,Market_Status,Price_Cache_Status,History_Row_Count,Valid_Completed_Bars,QA_Status,Blocking_Reason,Data_Source,Source_Run_Provenance
WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BVMF,MGLU3,MGLU3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:MOTV3,WS:BVMF:MOTV3,BVMF,MOTV3,MOTV3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:MULT3,WS:BVMF:MULT3,BVMF,MULT3,MULT3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:PETR3,WS:BVMF:PETR3,BVMF,PETR3,PETR3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:PRIO3,WS:BVMF:PRIO3,BVMF,PRIO3,PRIO3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:RADL3,WS:BVMF:RADL3,BVMF,RADL3,RADL3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:RAIL3,WS:BVMF:RAIL3,BVMF,RAIL3,RAIL3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:RDOR3,WS:BVMF:RDOR3,BVMF,RDOR3,RDOR3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:RENT3,WS:BVMF:RENT3,BVMF,RENT3,RENT3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,BVMF,SBSP3,SBSP3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,BVMF,SMFT3,SMFT3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,BVMF,SUZB3,SUZB3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,BVMF,TIMS3,TIMS3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BVMF,TOTS3,TOTS3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BVMF,UGPA3,UGPA3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BVMF,VALE3,VALE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BVMF,VBBR3,VBBR3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BVMF,VIVT3,VIVT3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BVMF,WEGE3,WEGE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,XNSE,RELIANCE,RELIANCE.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,XNSE,INFY,INFY.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,XNSE,LT,LT.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,XNSE,JSWSTEEL,JSWSTEEL.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,XNSE,ASIANPAINT,ASIANPAINT.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,XNSE,MAXHEALTH,MAXHEALTH.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,XNSE,HINDUNILVR,HINDUNILVR.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,XNSE,HINDALCO,HINDALCO.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,HDFCBANK.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,SUNPHARMA.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,GRASIM.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,SBIN.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,EICHERMOT.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,TATASTEEL.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,DRREDDY.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,ICICIBANK.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,M&M.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,ITC.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,TMPV.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,ONGC.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,KOTAKBANK.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,AXISBANK.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,NESTLEIND.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,BEL.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,TITAN.NS,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,507,507,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
