Liquidity_Evidence_State,Rows
FAIL_LIQUIDITY_PRIOR,13
LIQUIDITY_NOT_CHECKED,1554
LOW_LIQUIDITY_EXCEPTION_POOL_PRIOR,28
PASS_STANDARD_PRIOR_EVIDENCE,38
