Artifact_Path,Artifact_Blob_SHA,Stage_or_Version,Evidence_Type,Universe_Lineage,Rows,AsOf_or_PriceAsOf,Authority_Class,Usable_For_Current_Baseline,Reason
docs/validation/U3K_Liquidity_FX_Eligibility_Audit_v0.5.md,ee93141b26d2f0b17d9d0f4c6eb2dcabc2043e5f,0.5.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
output/mapping_audit.csv,7dd9f7e5806feabe809272625da17e4082091e7c,historical,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_controlled_master_import_plan_v0.33.csv,9f47edb54751a77816f103eafb2840f1ce71fd5b,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_history_cache_v0.33.csv,cb5483c46c6f28fbc99af2c3363d9b3bbd73ac19,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_history_gate_v0.33.csv,d39b54f869f7bd7a3dbf04d7f70de5afede58d9e,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_low_liquidity_exception_pool_v0.33.csv,f894e02789c1130368a551a86e4985eb4d6b783c,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_master_collision_audit_v0.33.csv,ed2892890e9c5e8ac662f346ef4c6a708bd5d589,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_master_import_projection_v0.33.csv,46a08368683e6ccf7abeb1af41ae343e741ce986,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_standard_eligibility_ready_v0.33.csv,0446fd7c6620137100ac200e32949222e090bd78,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_standard_eligibility_v0.33.csv,0446fd7c6620137100ac200e32949222e090bd78,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_standard_exclusions_v0.33.csv,21e90b5bff2ebce39cc0029486b22bed72c98092,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/eligibility_state_counts_v0.33.csv,ed9952cd5f65b8b5d4b2676abd77e8ed747b3e6b,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/manifest_v0.33.json,091e2ed3a49faa1cc52c8e8e3e8a9adfd295d0d9,0.33.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/stage_checkpoint_v0.33.json,927cd7e3955c9446826a64ae34bda220b86b7583,0.33.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/summary_v0.33.json,3ef82f661652dcb840d41119984826b11cbca9ce,0.33.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_import_v0_34/br_ibrx100_eligibility_state_audit_v0.34.csv,6f6f29e9488f1a1186b0b0aa5ad794327f3984da,0.34.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_liquidity_v0_32/br_ibrx100_liquidity_precheck_v0.32.csv,c03010329f7f74fca50576d9be5e0250cf3b0fd9,0.32.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_liquidity_v0_32/br_ibrx100_price_data_quality_v0.32.csv,5faf0587f2457dc116249680d4c8035ba1964b20,0.32.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_liquidity_v0_32/br_ibrx100_price_history_v0.32.csv,9b4245034fc5d59ee76c98311fe3a2a0f6a0a7b9,0.32.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
