Prior_Eligibility_State,Rows
LOW_LIQUIDITY_EXCEPTION_POOL,28
NOT_ELIGIBLE_OR_NOT_RECONCILED,1535
STANDARD_ELIGIBILITY_READY,38
STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,19
STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,13
