WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons,Instrument_Decision_v0_6,Instrument_Type_Resolved_v0_6,Instrument_Resolution_Method_v0_6,Instrument_Resolution_Reason_v0_6,Instrument_Evidence_URL_v0_6,Instrument_Evidence_Note_v0_6
WS:XTSE:BIP.UN,Brookfield Infrastructure Partners L.P.,Canada,CA_TSX,XTSE,BIP.UN,BIP-UN.TO,CAD,CAD,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,503,503,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,15930156.04432678,13276184.12206908,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,FAIL,UNIT_OR_TRUST_UNIT,AUTO_FAIL_SECURITY_TOKEN_RULE,CANADA_TRUST_UNIT_TOKEN,https://www.spglobal.com/spdji/en/methodology/article/sp-tsx-canadian-indices-methodology/,Clear disallowed security-structure token found in frozen row fields. Official methodology explicitly states that the S&P/TSX Composite includes common stocks and income trust units. No group-wide PASS.
WS:XHKG:823,LINK REIT,Hong Kong,HK_HSI,XHKG,823,0823.HK,HKD,HKD,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,491,491,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,31054371.53730741,39924743.15140717,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,FAIL,UNIT_OR_REIT_UNIT,AUTO_FAIL_SECURITY_TOKEN_RULE,HK_REIT_UNIT_TOKEN,https://www.hsi.com.hk/static/uploads/contents/en/dl_centre/methodologies/IM_hsie.pdf,Clear disallowed security-structure token found in frozen row fields. Current HSI methodology evidence is not used as a blanket ordinary-share proof in v0.6.
WS:XMEX:CEMEXCPO,Cemex,Mexico,MX_IPC,XMEX,CEMEX CPO,CEMEXCPO.MX,MXN,MXN,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,18880222.68769241,27786588.702790484,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,FAIL,CERTIFICATE_OR_FIBRA,AUTO_FAIL_SECURITY_TOKEN_RULE,MEXICO_CERTIFICATE_OR_FIBRA_TOKEN,https://www.spglobal.com/spdji/en/indices/equity/sp-bmv-ipc/,"Clear disallowed security-structure token found in frozen row fields. Official current constituent presentation includes CPO securities, so IPC membership alone does not prove an ordinary-share instrument."
