Selection_Rank,Source_Security_Name,Source_Ticker,Existing_Primary_MIC,Existing_Primary_Ticker,Selection_Score,Selection_Factor_XTSE,Selection_Factor_Simple_Equity,Selection_Factor_No_Corp_Action,Selection_Factor_No_Multi_Class,Selection_Factor_Issuer_Evidence,Selection_Factor_Listing_Evidence,Selection_Factor_Identifier_Evidence,Selection_Penalty_Instrument,Selection_Penalty_Foreign_Secondary,Selection_Penalty_Corp_Action,Selection_Penalty_Multi_Class,Selected,Selection_Reason
198,Cargojet Inc. Common and Variable Voting Shares,CJT,XTSE,CJT,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
199,Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC.A,XTSE,CTC.A,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
200,Canadian Utilities Limited Class A Non-Voting Shares,CU,XTSE,CU,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
201,Curaleaf Holdings Inc. Subordinate Voting Shares,CURA,XTSE,CURA,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
202,BRP Inc. Subordinate Voting Shares,DOO,XTSE,DOO,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
203,Empire Company Limited Non-Voting Class A Shares,EMP.A,XTSE,EMP.A,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
204,Fairfax Financial Holdings Limited Subordinate Voting Shares,FFH,XTSE,FFH,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
205,GFL Environmental Inc. subordinate voting shares,GFL,XTSE,GFL,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
206,CGI Inc. Class A Subordinate Voting Shares,GIB.A,XTSE,GIB.A,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
207,Hammond Power Solutions Inc. Class A Subordinate Voting Shares,HPS.A,XTSE,HPS.A,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
208,Lightspeed Commerce Inc. Subordinate Voting Shares,LSPD,XTSE,LSPD,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
209,ONEX Corporation Subordinate Voting Shares,ONEX,XTSE,ONEX,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
210,Paramount Resources Ltd. Class A Common Shares,POU,XTSE,POU,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
211,Power Corporation of Canada Subordinate Voting Shares,POW,XTSE,POW,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
212,Quebecor Inc. Class B Subordinate Voting Shares,QBR.B,XTSE,QBR.B,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
213,Rogers Communications Inc. Class B Non-voting Shares,RCI.B,XTSE,RCI.B,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
214,Shopify Inc. Class A Subordinate Voting Shares,SHOP,XTSE,SHOP,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
215,Teck Resources Limited Class B Subordinate Voting Shares,TECK.B,XTSE,TECK.B,8,3,0,2,0,2,2,2,0,0,0,-3,NO,Outside frozen top-20 target.
