ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
US8299331004,XNAS,SIRI,WS:XNAS:SIRI,NEW
US0921131092,XNYS,BKH,WS:XNYS:BKH,NEW
US8163001071,XNAS,SIGI,WS:XNAS:SIGI,NEW
US44951W1062,XNAS,IESC,WS:XNAS:IESC,NEW
US8086251076,XNAS,SAIC,WS:XNAS:SAIC,NEW
US36262G1013,XNYS,GXO,WS:XNYS:GXO,NEW
US6460251068,XNYS,NJR,WS:XNYS:NJR,NEW
US5535301064,XNYS,MSM,WS:XNYS:MSM,NEW
US03783C1009,XNAS,APPF,WS:XNAS:APPF,NEW
US0316521006,XNAS,AMKR,WS:XNAS:AMKR,NEW
US12653C1080,XNYS,CNX,WS:XNYS:CNX,NEW
US26210C1045,XNAS,DBX,WS:XNAS:DBX,NEW
US3397501012,XNYS,FND,WS:XNYS:FND,NEW
US98311A1051,XNYS,WH,WS:XNYS:WH,NEW
US08265T2087,XNAS,BSY,WS:XNAS:BSY,NEW
US0003602069,XNAS,AAON,WS:XNAS:AAON,NEW
US12621E1038,XNYS,CNO,WS:XNYS:CNO,NEW
CA67000B1040,XNAS,NOVT,WS:XNAS:NOVT,NEW
US8354951027,XNYS,SON,WS:XNYS:SON,NEW
US05329W1027,XNYS,AN,WS:XNYS:AN,NEW
US65336K1034,XNAS,NXST,WS:XNAS:NXST,NEW
US68235P1084,XNYS,OGS,WS:XNYS:OGS,NEW
US0454871056,XNYS,ASB,WS:XNYS:ASB,NEW
US83601L1026,XNAS,SHC,WS:XNAS:SHC,NEW
US34964C1062,XNYS,FBIN,WS:XNYS:FBIN,NEW
US6267171022,XNYS,MUR,WS:XNYS:MUR,NEW
US15118V2079,XNAS,CELH,WS:XNAS:CELH,NEW
US78442P1066,XNAS,SLM,WS:XNAS:SLM,NEW
US3647601083,XNYS,GAP,WS:XNYS:GAP,NEW
US84857L1017,XNYS,SR,WS:XNYS:SR,NEW
US06417N1037,XNAS,OZK,WS:XNAS:OZK,NEW
US3719011096,XNAS,GNTX,WS:XNAS:GNTX,NEW
US91879Q1094,XNYS,MTN,WS:XNYS:MTN,NEW
US78351F1075,XNYS,RYAN,WS:XNYS:RYAN,NEW
US4050241003,XNYS,HAE,WS:XNYS:HAE,NEW
US6177001095,XNAS,MORN,WS:XNAS:MORN,NEW
US0080731088,XNAS,AVAV,WS:XNAS:AVAV,NEW
US48242W1062,XNYS,KBR,WS:XNYS:KBR,NEW
US1170431092,XNYS,BC,WS:XNYS:BC,NEW
US90278Q1085,XNAS,UFPI,WS:XNAS:UFPI,NEW
US5962781010,XNAS,MIDD,WS:XNAS:MIDD,NEW
US85423L1035,XNYS,SARO,WS:XNYS:SARO,NEW
US9288811014,XNYS,VNT,WS:XNYS:VNT,NEW
US0774541066,XNYS,BDC,WS:XNYS:BDC,NEW
US0116591092,XNYS,ALK,WS:XNYS:ALK,NEW
US3029411093,XNYS,FCN,WS:XNYS:FCN,NEW
US89531P1057,XNYS,TREX,WS:XNYS:TREX,NEW
US0900431000,XNYS,BILL,WS:XNYS:BILL,NEW
US3142111034,XNYS,FHI,WS:XNYS:FHI,NEW
US29415F1049,XNYS,NVST,WS:XNYS:NVST,NEW
US0130911037,XNYS,ACI,WS:XNYS:ACI,NEW
US6811161099,XNAS,OLLI,WS:XNAS:OLLI,NEW
GB00BYMT0J19,XNAS,LIVN,WS:XNAS:LIVN,NEW
US01749D1054,XNAS,ALGM,WS:XNAS:ALGM,NEW
US1096961040,XNYS,BCO,WS:XNYS:BCO,NEW
US6680743050,XNAS,NWE,WS:XNAS:NWE,NEW
US32020R1095,XNAS,FFIN,WS:XNAS:FFIN,NEW
US9182041080,XNYS,VFC,WS:XNYS:VFC,NEW
US9345502036,XNAS,WMG,WS:XNAS:WMG,NEW
US5463471053,XNYS,LPX,WS:XNYS:LPX,NEW
US1033041013,XNYS,BYD,WS:XNYS:BYD,NEW
US29605J1060,XNYS,ESAB,WS:XNYS:ESAB,NEW
US88224Q1076,XNAS,TCBI,WS:XNAS:TCBI,NEW
US4074971064,XNAS,HLNE,WS:XNAS:HLNE,NEW
US1270551013,XNYS,CBT,WS:XNYS:CBT,NEW
US9258151029,XNAS,VICR,WS:XNAS:VICR,NEW
US5770811025,XNAS,MAT,WS:XNAS:MAT,NEW
US8941641024,XNYS,TNL,WS:XNYS:TNL,NEW
US72703H1014,XNYS,PLNT,WS:XNYS:PLNT,NEW
US6494454001,XNYS,FLG,WS:XNYS:FLG,NEW
US70959W1036,XNYS,PAG,WS:XNYS:PAG,NEW
US92047W1018,XNYS,VVV,WS:XNYS:VVV,NEW
US38526M1062,XNAS,LOPE,WS:XNAS:LOPE,NEW
US8851601018,XNYS,THO,WS:XNYS:THO,NEW
US05368V1061,XNYS,AVNT,WS:XNYS:AVNT,NEW
US4590441030,XNAS,IBOC,WS:XNAS:IBOC,NEW
US68404L2016,XNAS,OPCH,WS:XNAS:OPCH,NEW
US0708301041,XNYS,BBWI,WS:XNYS:BBWI,NEW
US87157D1090,XNAS,SYNA,WS:XNAS:SYNA,NEW
US3846371041,XNYS,GHC,WS:XNYS:GHC,NEW
US25659T1079,XNYS,DLB,WS:XNYS:DLB,NEW
US8270481091,XNYS,SLGN,WS:XNYS:SLGN,NEW
US26622P1075,XNYS,DOCS,WS:XNYS:DOCS,NEW
US91347P1057,XNAS,OLED,WS:XNAS:OLED,NEW
US4988941047,XNYS,KNF,WS:XNYS:KNF,NEW
US7055731035,XNAS,PEGA,WS:XNAS:PEGA,NEW
US30214U1025,XNAS,EXPO,WS:XNAS:EXPO,NEW
US7374461041,XNYS,POST,WS:XNYS:POST,NEW
US0441861046,XNYS,ASH,WS:XNYS:ASH,NEW
US6936561009,XNYS,PVH,WS:XNYS:PVH,NEW
US7310681025,XNYS,PII,WS:XNYS:PII,NEW
US48666K1097,XNYS,KBH,WS:XNYS:KBH,NEW
US3886891015,XNYS,GPK,WS:XNYS:GPK,NEW
US98585X1046,XNYS,YETI,WS:XNYS:YETI,NEW
US10922N1037,XNAS,BHF,WS:XNAS:BHF,NEW
US5779331041,XNYS,MMS,WS:XNYS:MMS,NEW
US50155Q1004,XNYS,KD,WS:XNYS:KD,NEW
US9741551033,XNAS,WING,WS:XNAS:WING,NEW
US4128221086,XNYS,HOG,WS:XNYS:HOG,NEW
US92839U2069,XNAS,VC,WS:XNAS:VC,NEW
US8101861065,XNYS,SMG,WS:XNYS:SMG,NEW
US2987361092,XNAS,EEFT,WS:XNAS:EEFT,NEW
US82452J1097,XNYS,FOUR,WS:XNYS:FOUR,NEW
US43283X1054,XNYS,HGV,WS:XNYS:HGV,NEW
US9633201069,XNYS,WHR,WS:XNYS:WHR,NEW
US9604131022,XNYS,WLK,WS:XNYS:WLK,NEW
US70202L1026,XNYS,PSN,WS:XNYS:PSN,NEW
US2244411052,XNYS,CXT,WS:XNYS:CXT,NEW
US0537741052,XNAS,CAR,WS:XNAS:CAR,NEW
US24906P1093,XNAS,XRAY,WS:XNAS:XRAY,NEW
US74967X1037,XNYS,RH,WS:XNYS:RH,NEW
US5138471033,XNAS,MZTI,WS:XNAS:MZTI,NEW
US3976241071,XNYS,GEF,WS:XNYS:GEF,NEW
US1699051066,XNYS,CHH,WS:XNYS:CHH,NEW
US44980X1090,XNAS,IPGP,WS:XNAS:IPGP,NEW
US6806652052,XNYS,OLN,WS:XNYS:OLN,NEW
VGG1890L1076,XNYS,CPRI,WS:XNYS:CPRI,NEW
US1985161066,XNAS,COLM,WS:XNAS:COLM,NEW
US72147K1088,XNAS,PPC,WS:XNAS:PPC,NEW
US1005571070,XNYS,SAM,WS:XNYS:SAM,NEW
