Segment_ID,Source_ID,Link_Label,Candidate_URL,Machine_Readable_Extension,PDF_Extension,Fetched_In_v0_29,Candidate_Only_Not_Authority
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC April 2020 Rebalance Announcement (English) - Final.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/spbmvipcmarch2020rebalancingannouncementenglish3.31.2020.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/spdjiconsulteffdatespostponedmarch2020rebalresults3.31.2020.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SPDJI FAQ March 2020.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/spdjiconsultationoneffectivedatesforpostponedmarch2020rebalancings3.23.2020.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/Update Important Information Regarding SP Dow Jones Indices March 2020 Rebalance.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Mar 2020 Rebalance Announcement (English) - Postponement.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Mar 2020 Rebalance Announcement (English) - Preliminary.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Sept2019 Rebalance Announcement (English) - Preliminary.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Index Announcement (English).pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Mar 2019 Rebalance Announcement - Final.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Mar 2019 Rebalance Announcement-Preliminary.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Sep 2018 Final Rebalance Announcement  .pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/S&P BMV IPC Rebalancing Update .pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Sep 2018 Rebalance Announcement .pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC March 2018 Rebalance.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV IPC Sept 2017 Rebalance.pdf,False,True,False,True
MX_IPC,BMV_SPECIAL_INFORMATION,Download,https://www.bmv.com.mx/docs-pub/INDICES/CTEN_INCM/SP BMV Methodology Change - Treatment of Replacements in the SP BMV IPC and SP BMV Mexico Index.pdf,False,True,False,True
