WS_ID,Exception_Type,Reason
WS:XAMS:CSG.AS,DATA_QUALITY,INVALID_OHLC_OR_VOLUME
WS:XLON:ROR.L,DATA_QUALITY,SUSPICIOUS_RETURN_NEEDS_REPAIR
WS:XOSL:KMAR.OL,DATA_QUALITY,INVALID_OHLC_OR_VOLUME
WS:XPAR:ABVX.PA,DATA_QUALITY,SUSPICIOUS_RETURN_NEEDS_REPAIR
WS:XTSE:IAU,DATA_QUALITY,SUSPICIOUS_RETURN_NEEDS_REPAIR
WS:XTSE:LAC,DATA_QUALITY,SUSPICIOUS_RETURN_NEEDS_REPAIR
WS:BVMF:NATU3,DATA_QUALITY,SUSPICIOUS_RETURN_NEEDS_REPAIR
