WS_ID,Yahoo_Symbol,Cache_Status,Cache_Reason,Unique_Daily_Bars,Valid_Completed_Bars,First_Valid_Bar,Last_Completed_Bar,Repaired_Rows,Suspicious_Returns,Zero_Volume_Share,History_Current_State,Global_EOD_Safe_Cutoff,Fetch_Timestamp_UTC
WS:ISIN:INE397D01024,BHARTIARTL.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE423A01024,ADANIENT.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE437A01024,APOLLOHOSP.NS,READY,,498,498,2024-09-02,2026-08-28,0,0,0.010040160642570281,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE467B01029,TCS.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE481G01011,ULTRACEMCO.NS,READY,,498,498,2024-09-02,2026-08-28,0,0,0.010040160642570281,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE522F01014,COALINDIA.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE585B01010,MARUTI.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE646L01027,INDIGO.NS,READY,,498,498,2024-09-02,2026-08-31,0,0,0.008032128514056224,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE669C01036,TECHM.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE721A01047,SHRIRAMFIN.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE733E01010,NTPC.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE742F01042,ADANIPORTS.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE752E01010,POWERGRID.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE758E01017,JIOFIN.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE758T01015,ETERNAL.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.014028056112224449,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE795G01014,HDFCLIFE.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE849A01020,TRENT.NS,READY,,498,498,2024-09-02,2026-08-28,0,0,0.010040160642570281,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE860A01027,HCLTECH.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE917I01010,BAJAJ-AUTO.NS,READY,,498,498,2024-09-02,2026-08-28,0,0,0.010040160642570281,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE918I01026,BAJAJFINSV.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:KYG022421088,3661.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:KYG114741062,3665.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.004132231404958678,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:KYG989221000,4958.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0001216000,1216.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0001303006,1303.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002059003,2059.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002301009,2301.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002303005,2303.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002308004,2308.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002317005,2317.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.004132231404958678,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002327004,2327.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.01652892561983471,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002330008,2330.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002344009,2344.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002345006,2345.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002357001,2357.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002360005,2360.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002368008,2368.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002382009,2382.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002383007,2383.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002395001,2395.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002408002,2408.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002412004,2412.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002449006,2449.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002454006,2454.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002603008,2603.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002880002,2880.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002881000,2881.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002882008,2882.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002883006,2883.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002884004,2884.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.004132231404958678,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002885001,2885.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002886009,2886.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002887007,2887.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002890001,2890.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002891009,2891.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0002892007,2892.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003008009,3008.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003017000,3017.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003037008,3037.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003045001,3045.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003231007,3231.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003443008,3443.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0003653002,3653.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0004904008,4904.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0005880009,5880.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
