WS_ID,Primary_MIC,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Liquidity_Last_Session,Usable_Sessions20,FX_Coverage20,MedianTurnover20_EUR,Liquidity_Current_State,Liquidity_Current_Gate,Prior_Liquidity_State,FX_Status,Evidence_AsOf
WS:ISIN:INE585B01010,XNSE,INR,INR,1.0,2026-08-31,20,20,34793280.69207938,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE646L01027,XNSE,INR,INR,1.0,2026-08-31,20,20,19291391.437173773,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE669C01036,XNSE,INR,INR,1.0,2026-08-31,20,20,30398883.442293458,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE721A01047,XNSE,INR,INR,1.0,2026-08-31,20,20,34124071.29115852,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE733E01010,XNSE,INR,INR,1.0,2026-08-31,20,20,23225718.91392939,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE742F01042,XNSE,INR,INR,1.0,2026-08-31,20,20,27294137.49737721,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE752E01010,XNSE,INR,INR,1.0,2026-08-31,20,20,18458330.951314714,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE758E01017,XNSE,INR,INR,1.0,2026-08-31,20,20,22081904.326629996,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE758T01015,XNSE,INR,INR,1.0,2026-08-31,20,20,78475859.00037341,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE795G01014,XNSE,INR,INR,1.0,2026-08-31,20,20,12818215.533114031,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
WS:ISIN:INE849A01020,XNSE,INR,INR,1.0,2026-08-28,20,20,18328002.92103441,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE860A01027,XNSE,INR,INR,1.0,2026-08-31,20,20,19024362.007491812,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE917I01010,XNSE,INR,INR,1.0,2026-08-28,20,20,23403495.547219716,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE918I01026,XNSE,INR,INR,1.0,2026-08-31,20,20,15723292.115014508,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:KYG022421088,XTAI,TWD,TWD,1.0,2026-08-31,20,20,207279119.01359683,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:KYG114741062,XTAI,TWD,TWD,1.0,2026-08-31,20,20,192602540.03017524,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:KYG989221000,XTAI,TWD,TWD,1.0,2026-08-31,20,20,421201593.8067701,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0001216000,XTAI,TWD,TWD,1.0,2026-08-31,20,20,27152390.75108891,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0001303006,XTAI,TWD,TWD,1.0,2026-08-31,20,20,451266230.4797486,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002059003,XTAI,TWD,TWD,1.0,2026-08-31,20,20,177006595.38707998,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002301009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,262929543.3846386,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002303005,XTAI,TWD,TWD,1.0,2026-08-31,20,20,448707105.90657127,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002308004,XTAI,TWD,TWD,1.0,2026-08-31,20,20,451874926.14605165,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002317005,XTAI,TWD,TWD,1.0,2026-08-31,20,20,238115462.6119715,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002327004,XTAI,TWD,TWD,1.0,2026-08-31,20,20,756655444.7090428,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002330008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,1148847214.510353,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002344009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,739839158.0228558,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002345006,XTAI,TWD,TWD,1.0,2026-08-31,20,20,177269824.5881004,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002357001,XTAI,TWD,TWD,1.0,2026-08-31,20,20,78818013.77517512,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002360005,XTAI,TWD,TWD,1.0,2026-08-31,20,20,122556136.20825031,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002368008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,315312533.65048736,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002382009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,133472427.24887307,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002383007,XTAI,TWD,TWD,1.0,2026-08-31,20,20,284522620.58165985,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002395001,XTAI,TWD,TWD,1.0,2026-08-31,20,20,64855319.40951374,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002408002,XTAI,TWD,TWD,1.0,2026-08-31,20,20,1196218818.915217,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002412004,XTAI,TWD,TWD,1.0,2026-08-31,20,20,30589512.79864295,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002449006,XTAI,TWD,TWD,1.0,2026-08-31,20,20,102444606.6745086,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002454006,XTAI,TWD,TWD,1.0,2026-08-31,20,20,713929368.076232,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002603008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,79244767.5243704,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002880002,XTAI,TWD,TWD,1.0,2026-08-31,20,20,29580576.3900242,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002881000,XTAI,TWD,TWD,1.0,2026-08-31,20,20,63901882.62880919,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002882008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,45494942.45331991,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002883006,XTAI,TWD,TWD,1.0,2026-08-31,20,20,31077843.17510405,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002884004,XTAI,TWD,TWD,1.0,2026-08-31,20,20,35429430.62395178,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002885001,XTAI,TWD,TWD,1.0,2026-08-31,20,20,36019724.68488168,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002886009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,40966008.62735006,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002887007,XTAI,TWD,TWD,1.0,2026-08-31,20,20,44336823.42032097,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002890001,XTAI,TWD,TWD,1.0,2026-08-31,20,20,19428076.068596363,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002891009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,48340600.381298855,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0002892007,XTAI,TWD,TWD,1.0,2026-08-31,20,20,36309266.60805701,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003008009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,317901561.99801207,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003017000,XTAI,TWD,TWD,1.0,2026-08-31,20,20,310526897.35419905,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003037008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,596755309.9025694,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003045001,XTAI,TWD,TWD,1.0,2026-08-31,20,20,28952679.630717836,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003231007,XTAI,TWD,TWD,1.0,2026-08-31,20,20,231900763.22750145,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003443008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,344340828.6436557,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0003653002,XTAI,TWD,TWD,1.0,2026-08-31,20,20,213281214.9581112,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
