WS_ID,Session_Date,Raw_Close,Raw_Volume,Quote_Scale_To_Major_Currency,Currency_Normalized,Turnover_Native_Major,FX_to_EUR,FX_Source_Symbol,FX_Date_Used,FX_Lag_Days,Turnover_EUR,Usable_For_Median20
WS:ISIN:INE002A01018,2026-08-04,1290.9000244140625,10759546.0,1.0,INR,13889498194.084229,0.009108000434935093,,2026-08-04,0,126505555.59274934,True
WS:ISIN:INE002A01018,2026-08-05,1280.0,24820782.0,1.0,INR,31770600960.0,0.009084999561309814,,2026-08-05,0,288635895.78414917,True
WS:ISIN:INE002A01018,2026-08-06,1325.0,20342297.0,1.0,INR,26953543525.0,0.009091000072658062,,2026-08-06,0,245034666.14416724,True
WS:ISIN:INE002A01018,2026-08-07,1334.800048828125,9885638.0,1.0,INR,13195350085.097168,0.009112000465393066,,2026-08-07,0,120236036.11642984,True
WS:ISIN:INE002A01018,2026-08-10,1327.300048828125,8207102.0,1.0,INR,10893286885.337402,0.009120999835431576,,2026-08-10,0,99357667.8884714,True
WS:ISIN:INE002A01018,2026-08-11,1323.9000244140625,9953124.0,1.0,INR,13176941106.596191,0.009081000462174416,,2026-08-11,0,119659808.27904508,True
WS:ISIN:INE002A01018,2026-08-12,1329.0,7901012.0,1.0,INR,10500444948.0,0.009069999679923058,,2026-08-12,0,95239032.3174097,True
WS:ISIN:INE002A01018,2026-08-13,1317.0,9397301.0,1.0,INR,12376245417.0,0.009092000313103199,,2026-08-13,0,112524827.20640603,True
WS:ISIN:INE002A01018,2026-08-14,1310.0,10497358.0,1.0,INR,13751538980.0,0.009077000431716442,,2026-08-14,0,124822725.25822549,True
WS:ISIN:INE002A01018,2026-08-17,1316.0,13383867.0,1.0,INR,17613168972.0,0.008812000043690205,,2026-08-17,0,155207245.75078696,True
WS:ISIN:INE002A01018,2026-08-18,1322.0,10180567.0,1.0,INR,13458709574.0,0.00902399979531765,,2026-08-18,0,121451392.44101569,True
WS:ISIN:INE002A01018,2026-08-19,1311.0,7489365.0,1.0,INR,9818557515.0,0.00902200024574995,,2026-08-19,0,88583028.31324002,True
WS:ISIN:INE002A01018,2026-08-20,1313.199951171875,5546227.0,1.0,INR,7283305025.588135,0.008938999846577644,,2026-08-20,0,65105462.50631052,True
WS:ISIN:INE002A01018,2026-08-21,1316.0,5434871.0,1.0,INR,7152290236.0,0.008933000266551971,,2026-08-21,0,63891410.58464506,True
WS:ISIN:INE002A01018,2026-08-24,1309.800048828125,7277167.0,1.0,INR,9531633691.93042,0.008936000056564808,,2026-08-24,0,85174679.21024527,True
WS:ISIN:INE002A01018,2026-08-25,1317.0,7115355.0,1.0,INR,9370922535.0,0.008945000357925892,,2026-08-25,0,83822905.42967081,True
WS:ISIN:INE002A01018,2026-08-26,1298.0,5744474.0,1.0,INR,7456327252.0,0.008971000090241432,,2026-08-26,0,66890712.45056165,True
WS:ISIN:INE002A01018,2026-08-27,1282.199951171875,11271497.0,1.0,INR,14452312903.033936,0.008984999731183052,,2026-08-27,0,129854027.54873326,True
WS:ISIN:INE002A01018,2026-08-28,1287.0,6830228.0,1.0,INR,8790503436.0,0.008976000361144543,,2026-08-28,0,78903562.01617834,True
WS:ISIN:INE002A01018,2026-08-31,1277.0,34871137.0,1.0,INR,44530441949.0,0.008747000247240067,,2026-08-31,0,389507786.7376124,True
WS:ISIN:INE009A01021,2026-08-04,1167.5,9243589.0,1.0,INR,10791890157.5,0.009108000434935093,,2026-08-04,0,98292540.24828175,True
WS:ISIN:INE009A01021,2026-08-05,1174.0,9964155.0,1.0,INR,11697917970.0,0.009084999561309814,,2026-08-05,0,106275579.6256882,True
WS:ISIN:INE009A01021,2026-08-06,1165.0,8521064.0,1.0,INR,9927039560.0,0.009091000072658062,,2026-08-06,0,90246717.36123946,True
WS:ISIN:INE009A01021,2026-08-07,1175.0999755859375,7581410.0,1.0,INR,8908914705.906982,0.009112000465393066,,2026-08-07,0,81178034.94637156,True
WS:ISIN:INE009A01021,2026-08-10,1183.0,9377001.0,1.0,INR,11092992183.0,0.009120999835431576,,2026-08-10,0,101179179.87558676,True
WS:ISIN:INE009A01021,2026-08-11,1190.699951171875,10160091.0,1.0,INR,12097619857.601807,0.009081000462174416,,2026-08-11,0,109858491.5180924,True
WS:ISIN:INE009A01021,2026-08-12,1176.0999755859375,7529777.0,1.0,INR,8855770545.867554,0.009069999679923058,,2026-08-12,0,80321836.01649076,True
WS:ISIN:INE009A01021,2026-08-13,1175.0,6234215.0,1.0,INR,7325202625.0,0.009092000313103199,,2026-08-13,0,66600744.56004438,True
WS:ISIN:INE009A01021,2026-08-14,1169.199951171875,5844763.0,1.0,INR,6833696614.211182,0.009077000431716442,,2026-08-14,0,62029467.11741409,True
WS:ISIN:INE009A01021,2026-08-17,1139.9000244140625,5817153.0,1.0,INR,6630972846.720337,0.008812000043690205,,2026-08-17,0,58432133.01500817,True
WS:ISIN:INE009A01021,2026-08-18,1115.0,8851110.0,1.0,INR,9868987650.0,0.00902399979531765,,2026-08-18,0,89057742.53359242,True
WS:ISIN:INE009A01021,2026-08-19,1119.800048828125,8408573.0,1.0,INR,9415920455.974854,0.00902200024574995,,2026-08-19,0,84950436.66776711,True
WS:ISIN:INE009A01021,2026-08-20,1130.0,8559841.0,1.0,INR,9672620330.0,0.008938999846577644,,2026-08-20,0,86463551.6458738,True
WS:ISIN:INE009A01021,2026-08-21,1121.0,6094967.0,1.0,INR,6832458007.0,0.008933000266551971,,2026-08-21,0,61034349.19773615,True
WS:ISIN:INE009A01021,2026-08-24,1130.0,8565354.0,1.0,INR,9678850020.0,0.008936000056564808,,2026-08-24,0,86490204.32620229,True
WS:ISIN:INE009A01021,2026-08-25,1144.0,8121237.0,1.0,INR,9290695128.0,0.008945000357925892,,2026-08-25,0,83105271.24534035,True
WS:ISIN:INE009A01021,2026-08-26,1120.0,6323984.0,1.0,INR,7082862080.0,0.008971000090241432,,2026-08-26,0,63540356.35884762,True
WS:ISIN:INE009A01021,2026-08-27,1110.800048828125,6933998.0,1.0,INR,7702285316.974121,0.008984999731183052,,2026-08-27,0,69205031.50250764,True
WS:ISIN:INE009A01021,2026-08-28,1144.0,9621969.0,1.0,INR,11007532536.0,0.008976000361144543,,2026-08-28,0,98803616.0184463,True
WS:ISIN:INE009A01021,2026-08-31,1133.800048828125,8808120.0,1.0,INR,9986646886.083984,0.008747000247240067,,2026-08-31,0,87353202.78167585,True
WS:ISIN:INE018A01030,2026-08-04,3990.0,1827982.0,1.0,INR,7293648180.0,0.009108000434935093,,2026-08-04,0,66430550.795703545,True
WS:ISIN:INE018A01030,2026-08-05,4057.0,1910224.0,1.0,INR,7749778768.0,0.009084999561309814,,2026-08-05,0,70406736.70752811,True
WS:ISIN:INE018A01030,2026-08-06,4061.800048828125,1401341.0,1.0,INR,5691966942.2248535,0.009091000072658062,,2026-08-06,0,51745671.885333434,True
WS:ISIN:INE018A01030,2026-08-07,4056.0,901290.0,1.0,INR,3655632240.0,0.009112000465393066,,2026-08-07,0,33310122.672185898,True
WS:ISIN:INE018A01030,2026-08-10,4080.0,1082855.0,1.0,INR,4418048400.0,0.009120999835431576,,2026-08-10,0,40297018.72932874,True
WS:ISIN:INE018A01030,2026-08-11,4037.39990234375,1401285.0,1.0,INR,5657547922.155762,0.009081000462174416,,2026-08-11,0,51376195.29587038,True
WS:ISIN:INE018A01030,2026-08-12,4020.0,2226623.0,1.0,INR,8951024460.0,0.009069999679923058,,2026-08-12,0,81185788.98718345,True
WS:ISIN:INE018A01030,2026-08-13,4070.699951171875,2299928.0,1.0,INR,9362316797.298828,0.009092000313103199,,2026-08-13,0,85122187.25241229,True
WS:ISIN:INE018A01030,2026-08-14,4057.0,934044.0,1.0,INR,3789416508.0,0.009077000431716442,,2026-08-14,0,34396535.27906941,True
WS:ISIN:INE018A01030,2026-08-17,4086.699951171875,1066164.0,1.0,INR,4357092366.741211,0.008812000043690205,,2026-08-17,0,38394698.12608581,True
WS:ISIN:INE018A01030,2026-08-18,4064.300048828125,1355575.0,1.0,INR,5509463538.690186,0.00902399979531765,,2026-08-18,0,49717397.84545029,True
WS:ISIN:INE018A01030,2026-08-19,4041.300048828125,1190832.0,1.0,INR,4812509419.746094,0.00902200024574995,,2026-08-19,0,43418461.16762321,True
WS:ISIN:INE018A01030,2026-08-20,4081.0,1056060.0,1.0,INR,4309780860.0,0.008938999846577644,,2026-08-20,0,38525130.44632327,True
WS:ISIN:INE018A01030,2026-08-21,4093.0,1258912.0,1.0,INR,5152726816.0,0.008933000266551971,,2026-08-21,0,46029310.02079749,True
WS:ISIN:INE018A01030,2026-08-24,4090.0,1369496.0,1.0,INR,5601238640.0,0.008936000056564808,,2026-08-24,0,50052668.80387299,True
WS:ISIN:INE018A01030,2026-08-25,4119.0,1316074.0,1.0,INR,5420908806.0,0.008945000357925892,,2026-08-25,0,48490031.20995362,True
WS:ISIN:INE018A01030,2026-08-26,4038.10009765625,1384669.0,1.0,INR,5591432024.121582,0.008971000090241432,,2026-08-26,0,50160737.19297355,True
