WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:INE101A01026,IN_NIFTY50,XNSE,M&M,INR,MAPPING_PRESENT_NOT_REVALIDATED,M&M,M&M.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE123W01016,IN_NIFTY50,XNSE,SBILIFE,INR,MAPPING_PRESENT_NOT_REVALIDATED,SBILIFE,SBILIFE.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE154A01025,IN_NIFTY50,XNSE,ITC,INR,MAPPING_PRESENT_NOT_REVALIDATED,ITC,ITC.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE155A01022,IN_NIFTY50,XNSE,TMPV,INR,MAPPING_PRESENT_NOT_REVALIDATED,TMPV,TMPV.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE192A01025,IN_NIFTY50,XNSE,TATACONSUM,INR,MAPPING_PRESENT_NOT_REVALIDATED,TATACONSUM,TATACONSUM.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE213A01029,IN_NIFTY50,XNSE,ONGC,INR,MAPPING_PRESENT_NOT_REVALIDATED,ONGC,ONGC.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE237A01036,IN_NIFTY50,XNSE,KOTAKBANK,INR,MAPPING_PRESENT_NOT_REVALIDATED,KOTAKBANK,KOTAKBANK.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE238A01034,IN_NIFTY50,XNSE,AXISBANK,INR,MAPPING_PRESENT_NOT_REVALIDATED,AXISBANK,AXISBANK.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE239A01024,IN_NIFTY50,XNSE,NESTLEIND,INR,MAPPING_PRESENT_NOT_REVALIDATED,NESTLEIND,NESTLEIND.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE263A01024,IN_NIFTY50,XNSE,BEL,INR,MAPPING_PRESENT_NOT_REVALIDATED,BEL,BEL.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE280A01028,IN_NIFTY50,XNSE,TITAN,INR,MAPPING_PRESENT_NOT_REVALIDATED,TITAN,TITAN.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE296A01032,IN_NIFTY50,XNSE,BAJFINANCE,INR,MAPPING_PRESENT_NOT_REVALIDATED,BAJFINANCE,BAJFINANCE.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
