WS_ID,Gap_Family,Diagnostic_Classification,Provider_Symbol,Primary_MIC,Primary_Ticker,Primary_Currency,Name,Country,Primary_Universe_Index,Yahoo_Mapping_Status,Repair_Pass,Request_Start,Request_End_Exclusive
WS:XLON:ROR.L,DATA_QUALITY,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,ROR.L,XLON,ROR.L,GBP,ROTORK,GB,EU_STOXX600,FROZEN_V0_39_DQ_REPAIR,True,2024-09-01,2026-09-01
WS:XTSE:IAU,DATA_QUALITY,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,IAU.TO,XTSE,IAU,CAD,i-80 Gold Corp.,Canada,CA_TSX,FROZEN_V0_39_DQ_REPAIR,True,2024-09-01,2026-09-01
WS:XTSE:LAC,DATA_QUALITY,SUSPICIOUS_RETURN_TARGETED_REPAIR_CANDIDATE,LAC.TO,XTSE,LAC,CAD,Lithium Americas Corp.,Canada,CA_TSX,FROZEN_V0_39_DQ_REPAIR,True,2024-09-01,2026-09-01
