ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XLON:ROR.L,ROR.L,FROZEN_V0_39_DQ_REPAIR,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:48+00:00,YF-20260902T153947424181-b0a22dc7-R,NO_DATA_IN_BATCH
WS:XTSE:IAU,IAU.TO,FROZEN_V0_39_DQ_REPAIR,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:48+00:00,YF-20260902T153947424181-b0a22dc7-R,NO_DATA_IN_BATCH
WS:XTSE:LAC,LAC.TO,FROZEN_V0_39_DQ_REPAIR,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:48+00:00,YF-20260902T153947424181-b0a22dc7-R,NO_DATA_IN_BATCH
